Variable,RF_Importance,GB_Importance,Correlation,Abs_Correlation,RF_Importance_Norm,GB_Importance_Norm,Correlation_Norm,Combined_Score
sentiment_late_middle,0.05258997610488746,0.00029508874261087404,0.0,0.0,0.20755563675176922,0.00032554535763706124,0.0,0.07275841373829219
time_to_reason_seconds,0.0016716664679750737,0.00011832230408397618,0.1230473326941695,0.1230473326941695,0.006597527207564223,0.00013053455194071405,0.19489089014665967,0.06082208865982463
contract_mentions_final_2min,0.0,0.0,0.1274986660614527,0.1274986660614527,0.0,0.0,0.2019412203187533,0.06058236609562599
name_usage_count,0.001213606546169033,2.7887700843423012e-05,0.12199774273300869,0.12199774273300869,0.0047897127573104095,3.076603825825841e-05,0.19322847685137887,0.05965571063386269
discovery_quality,0.036228186186992827,0.00022014925565272663,0.0,0.0,0.14298094065313963,0.00024287123775340767,0.0,0.05012833416181256
Connection Made Calls,2.1313775470702024e-05,0.0,-0.07858384401202337,0.07858384401202337,8.411858241925824e-05,0.0,0.12446653637519432,0.03736940241640504
interruption_rate,0.002120290011573945,0.001448118265780009,0.0656580378838224,0.0656580378838224,0.008368099323204436,0.0015975810346509022,0.10399374913933089,0.03468611286704863
agent_talk_percentage,0.003512597758440912,1.056203009793346e-06,-0.05763518471313181,0.05763518471313181,0.013863087957141806,1.1652155331927756e-06,0.09128659847042468,0.03223846815156366
script_adherence,0.021383635764407865,2.033812355076693e-06,0.0,0.0,0.08439429841720551,2.2437256150201827e-06,0.0,0.029538789749987183
Calls Count,0.0004445905869752898,0.0007319183365549166,-0.05636248464698338,0.05636248464698338,0.0017546553394406903,0.0008074608828744688,0.08927080793396608,0.02767798305800013
stages_skipped,0.01778674209727223,0.006350390271384498,0.0,0.0,0.07019852175585499,0.007005824938428536,0.0,0.027021521342999233
technical_quality_score,0.000773240353145128,1.681464054176609e-06,0.043587291104346414,0.043587291104346414,0.0030517297353227875,1.8550108419168669e-06,0.06903657134544429,0.021779726064790932
disconnect_stage,0.013392935029450295,0.0018570810825165678,0.0,0.0,0.052857585492500185,0.0020487536048303277,0.0,0.019217218684065677
Dial Attempt Calls,0.00037612501054992925,0.0,-0.03771834333288598,0.03771834333288598,0.001484443839777697,0.0,0.05974092526876686,0.018441832924552252
sentiment_early_middle,0.009753774512351968,0.005826903568014724,0.0,0.0,0.03849499523648285,0.006428308274936273,0.0,0.01572315622899669
roi_calculation_presented,0.010324708466842457,0.00013083625539233386,0.0,0.0,0.04074828700887569,0.00014434008961757542,0.0,0.014312419484472642
TO_OMC_Disposiion,0.007367032560454141,0.0003853729228201355,0.0,0.0,0.02907529623148035,0.0004251479228692797,0.0,0.010325155454022369
