,TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,call_duration_group
goal2_questions,-0.04382119997049066,0.4877613996079313,-0.051239121160358024,-0.07675874738341655,-0.03242089596436984,0.050453980126513816,0.26302628210037504,0.06968977956199317,0.6608579230036044,0.3029608846148585,1.0,0.0830262427618411,0.2407753587555978,0.15218473614593075,0.036134056609462645,0.15827828153543563,0.13193692740824353,0.014290035460553331,0.18571302901166806,0.10279305721539578,0.06714155138034508,0.15555390033977237,0.13201464735509577,-0.07420334263634222,0.014337652728221703,0.24356058663507388,0.35688848870159806,0.38989340622845303,0.2542286952842162,-0.020641553140127333,0.17705779414159278,0.070174036509941,0.1373104242387419,0.29424946152231574,0.04489113630296209,0.07278888888900695,0.4847891128062059,0.17868214358858064,
goal3_questions,-0.008846873914603922,0.08194528148130815,-0.06932409965638923,-0.05261370960034791,-0.06053442711946131,0.0024795972139863482,0.05329418974506041,0.04351454185503516,0.22857393989372152,0.12514229903788845,0.0830262427618411,1.0,0.07673357626181297,0.11262264989168691,-0.016774648942037316,0.09847486033708454,0.08935957320423592,-0.016457464062719744,0.0345507368749213,0.021517323189177852,0.0013156599399518562,-0.012749197016950448,0.01178517730047284,-0.041591714644844666,-0.03781571284491632,0.021510929045129804,0.11513276092375838,0.12168721454645452,0.04032251639853759,-0.045554729277810256,0.12033155985628864,0.09735577859410136,0.06916320841891936,0.06579106322362407,0.0250289853292048,-0.014419953062793905,0.07988403228407191,0.006877760946670473,
total_buying_signals,0.04359899926908182,0.35569706612083823,-0.09140490646972313,-0.07618864631465569,-0.07759772806131994,0.022943821902140556,0.23562991572340633,0.024998317220889094,0.1852331367452044,0.10234470222806352,0.2407753587555978,0.07673357626181297,1.0,0.1335428473441056,0.05757725403467941,0.12789385819668989,0.09024214817536193,0.06991803245864532,0.10456567291201448,0.22845957862672017,0.12131895568147745,0.00917549506698706,0.22782062496277994,-0.04938832667235276,0.024592356452996848,0.19022226093678193,0.21088895519685658,0.21818951923915983,0.22214560934885463,-0.0359454101656704,0.1103350893735881,0.05932582607885591,0.17646089285657068,0.16524773166959006,0.09368759725413868,0.11066006352994595,0.3578411612585193,0.03460863743821124,
total_resistance_signals,0.09849369005959985,0.38480614754438025,-0.043917505852871096,-0.023712491774035307,-0.04147872898281442,0.02580951458732641,0.41687962382074256,0.08782129752857908,0.1957857302726017,0.15753343890324878,0.15218473614593075,0.11262264989168691,0.1335428473441056,1.0,0.08657842067279249,0.9354531072880452,0.532417275528516,0.6196190307507999,0.33999298551105045,0.3530935610005678,0.24494533060591497,0.001955551078580827,0.39470831534773926,-0.12536986115382448,-0.009191029177519187,0.13800491675417878,0.33368516042109564,0.326012012062588,0.1580760938212604,-0.06652592898655804,0.32424777105106367,0.2620162021764613,0.223607652292342,0.2720769670074297,0.33753233701264235,0.21794570964252769,0.38516458397525183,0.06534181887135194,
time_to_reason_seconds,0.08574027397459519,0.1561594598084385,-0.06413222328535309,-0.055234262682320914,-0.05381275806898009,0.06868087476882313,0.21672436518317106,0.14029504354517258,0.05264577270404215,0.049286967600954495,0.036134056609462645,-0.016774648942037316,0.05757725403467941,0.08657842067279249,1.0,0.12668073663172463,0.08425827059651608,0.08790995441769829,0.12309678953570914,0.05512477325796377,0.0771990914772936,0.014520674587571832,0.09294839708128227,0.1447240466375339,0.1973876332970116,0.20498359540270503,0.04292264430626093,0.13527000984004192,0.17601250895519396,0.11077161439433933,0.06402284121308442,0.05515856189420365,0.15103180061565744,0.19463544564441565,0.09551831553239963,0.0680632440770785,0.16007429356466035,0.11560733862063757,
total_objections,0.11029962256429707,0.38592888677323484,-0.027733546043528207,-0.013005635965225503,-0.026833982903965322,0.028235473258822977,0.4230088217706177,0.09675264839113823,0.20312423882792094,0.1639079282984437,0.15827828153543563,0.09847486033708454,0.12789385819668989,0.9354531072880452,0.12668073663172463,1.0,0.5515300462099023,0.6530305444401149,0.34110533403840376,0.30948277696605503,0.24577227561750004,0.009136663629247893,0.37058532036880587,-0.11883101384043222,0.005654182359126792,0.17478629989371067,0.3084540583276237,0.3505167998167982,0.19510926438711554,-0.05176259862120333,0.3207972983868455,0.2676325468287739,0.24781736073131755,0.29164599077875425,0.29899504721305536,0.19872784243531685,0.3915765817822929,0.04408438098361699,
objections_acknowledged,0.03974744493049926,0.2883705059457862,-0.040740449548830396,-0.010042599224685813,-0.04236759991456328,-0.018889922237407552,0.22978106344158003,0.07109334107454289,0.15980788666977427,0.12049782984495187,0.13193692740824353,0.08935957320423592,0.09024214817536193,0.532417275528516,0.08425827059651608,0.5515300462099023,1.0,0.3885954300728485,0.805573812246844,0.06281438704539442,0.2797817163695532,-0.003827758209902631,0.24451838000941845,-0.07677234928114691,-0.01559272423863923,0.12019555846265109,0.23045845795013217,0.28261251132255794,0.14556062139118328,-0.031836415491537234,0.24037621051411376,0.16918657298773507,0.1423940746326975,0.201963541312465,0.5462942236354753,0.4701797210523737,0.28822258356387326,0.07205647422092577,
objections_rebutted,0.08260328806963639,0.28994009750664773,-0.015255562745400287,-0.014662788102977364,-0.012317712387934663,0.006512449719624482,0.28654338494377807,0.03562110091846469,0.12636207426680612,0.1595239343501949,0.014290035460553331,-0.016457464062719744,0.06991803245864532,0.6196190307507999,0.08790995441769829,0.6530305444401149,0.3885954300728485,1.0,0.22194545628214277,0.15649857118710392,0.13592702346221597,-0.038180650954375187,0.1912557482005085,-0.06545998152496225,-0.01488575892252071,0.1433352520804132,0.1791167365570481,0.25444301621344023,0.1568167872869123,-0.043600634487406593,0.21259428029279506,0.15606527493903183,0.15243991802739718,0.21140174859299765,0.29037927453107243,0.1919728320984729,0.3018617217959083,0.05589523610527032,
acknowledgement_rate,0.021100870018195786,0.28706655637618317,-0.04831029774633751,-0.0113370561500269,-0.05042573439585771,0.004840831927208919,0.25513652275745846,0.08739533256961912,0.1807732017199489,0.1261415820256572,0.18571302901166806,0.0345507368749213,0.10456567291201448,0.33999298551105045,0.12309678953570914,0.34110533403840376,0.805573812246844,0.22194545628214277,1.0,0.024898557856479125,0.26598353663302443,-0.01096071092600253,0.21080787199577175,-0.06574556737640667,0.007977286140823006,0.1810286528395527,0.20565560675072417,0.28481724319464263,0.20981647519410707,-0.041042064230621095,0.16361844227303066,0.11085686190509748,0.18040733966109826,0.2574824705884506,0.5744376539329076,0.6268364912488389,0.2807981413705364,0.07266177236417047,
price_mentions_final_2min,0.08517544426070427,0.2082653694970122,0.0206946989176371,-0.033289434958318646,0.034011997706695406,0.031495517287001215,0.16094792779449366,0.02735805091119401,0.08586929263061958,0.05367103277745708,0.10279305721539578,0.021517323189177852,0.22845957862672017,0.3530935610005678,0.05512477325796377,0.30948277696605503,0.06281438704539442,0.15649857118710392,0.024898557856479125,1.0,0.07203771138851403,0.11679469288997646,0.6635792251029006,-0.04078175583412421,0.007496456167836319,0.09133311266734205,0.1507653158089206,0.1511547510738707,0.09727581876610063,-0.0019309543313764269,0.2260906282637192,0.16470120999533228,0.07727411281143952,0.06507328964328092,0.06918700292245172,0.04402470988073799,0.20178103471879505,0.032566920367449397,
