,TO_length_in_sec,TO_OMC_Duration,Calls Count,Connection Made Calls,Dial Attempt Calls,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,call_duration_group
goal2_questions,0.055697082042800834,0.4154433582482207,-0.06218585627936288,-0.03891402996025403,-0.057123640850700354,0.03957972023146927,0.3095576143595049,0.12093094484286132,0.7460998130119936,0.4607246090105029,1.0,0.22977464594296962,0.34643749984985,0.26972623104378457,0.09416183470707784,0.24023993270480018,0.24117720032049098,0.2198206928468553,0.22622123732724986,0.18966230732654457,0.1647012706093995,0.14012144787452596,0.24655205419292037,0.0009073916805210225,0.19787092181935156,0.4181488364833737,0.2905809390684959,0.3776883485562794,0.38747915316150444,0.27472852046353313,0.26692582426472555,0.10772181956465156,0.11786421706016717,0.3130468685146639,0.2492743633823931,0.1858968260048593,0.3826506367227398,0.2661575951016778,0.48440790787207144
goal3_questions,0.013537668285817395,0.3013896163932075,-0.018503388116118177,-0.024333493533470685,-0.012858622534302188,0.028611059793348624,0.086781040018581,0.03978206520904298,0.4688574805928155,0.24445838337099085,0.22977464594296962,1.0,0.3658760633603452,0.17255665698205935,0.007569030258098002,0.12406659216239858,0.10119475978806011,0.15146010283542496,0.05734200028648762,0.09817356337686965,0.09646719471233073,0.08830894254234596,0.12126136544623149,0.00313096117393825,0.06949746766027264,0.24606443409150291,0.1445480276946392,0.2017679059398849,0.24001123147441045,0.19077943395375846,0.11098928678786596,0.012962773797566952,0.06457864432747167,0.06839056272902162,0.08646763117858568,0.046821754077476664,0.29325426905522667,0.1773880084659012,0.20027873296699006
total_buying_signals,0.07711754676332998,0.5792409957769648,-0.03332209395822183,-0.02341309083711756,-0.029778509822153004,0.0393711958457481,0.16979036877994744,0.08246547222880551,0.5207797777195162,0.45643120916716284,0.34643749984985,0.3658760633603452,1.0,0.3075239497009929,0.08791568723987754,0.2325440517900136,0.25704692740960317,0.3009137495010622,0.20023814935184941,0.29399245190251966,0.24024643394511555,0.11051628624497005,0.35010482050487357,0.04364411623179261,0.2826432445992781,0.4672955256354194,0.4672217317270245,0.4917482533518811,0.5383978339975006,0.37704789328657345,0.2545685150608458,0.039661475175935684,0.15028541290434402,0.22745437948704392,0.23167462472611897,0.16844971830999128,0.533716704145265,0.3803102129892339,0.40439228973847646
total_resistance_signals,0.11644449067609319,0.38227864173100573,-0.02620759529388615,-0.0015521153779866539,-0.028891854173988832,0.018044428837873557,0.3613413814125255,0.13567710351141732,0.32571676347347084,0.2733354072683996,0.26972623104378457,0.17255665698205935,0.3075239497009929,1.0,0.11675356838058214,0.9169907271082871,0.5943206217380768,0.7284623655329941,0.3354530317096838,0.3316687358790364,0.28820698659075616,0.15650043910688055,0.42194015699305343,-0.009461320974550545,0.15134049080839757,0.3632820579819827,0.27003559235697644,0.319901960585194,0.36662368486419755,0.28117276065158386,0.27319481631706655,0.17327869896838138,0.20052673350580863,0.2519492916206044,0.4216101731643565,0.24458636589798205,0.3617348118677528,0.2829893442151462,0.3311693997155511
time_to_reason_seconds,0.11796848603132418,0.12444718984156533,-0.02021711386852229,-0.00421141328564528,-0.02129446285907196,0.04249758950406521,0.1675585285078832,0.11607611570317974,0.14384231925969282,0.15620291875361483,0.09416183470707784,0.007569030258098002,0.08791568723987754,0.11675356838058214,1.0,0.12009198598639882,0.12684801541810212,0.13544525526573306,0.10933271751625556,0.1049399906826239,0.08390944152715847,0.04242039233669523,0.09887129496013343,0.06862931834449226,0.08850155768549302,0.15038508266897183,0.08355891960175937,0.1484893571614081,0.18428069153847543,0.1280409942257754,0.15095842120323139,0.056673077023044326,0.092132240434955,0.19186965843696463,0.1353843467140093,0.09670237581275544,0.13057454494081774,0.10481333753785714,0.12304733269416958
total_objections,0.1244638824658495,0.3642639881587099,-0.013681246812085823,-0.003090187729669005,-0.014342749399212018,0.019785173545185823,0.3600969920182446,0.14349433589457894,0.278644123425411,0.23528203102181727,0.24023993270480018,0.12406659216239858,0.2325440517900136,0.9169907271082871,0.12009198598639882,1.0,0.6291831316253786,0.7895033818089916,0.3122041988294573,0.3359095657193305,0.27767986980853776,0.16579703979843294,0.4258399394002756,0.0022707506524123245,0.1673451315500945,0.3549070252341283,0.24782187586680024,0.2920775885368309,0.3352195905868934,0.2846589354751137,0.26889188790154617,0.166929134501502,0.23343267248996305,0.26480048849745763,0.41916943061024126,0.2335381847057936,0.34866009731228537,0.2519957511029641,0.33515953123688835
objections_acknowledged,0.12410274443347391,0.3567930452890856,-0.01630939090401099,-0.001749827523110498,-0.017725486843026057,0.0064430487422651814,0.22573948856152354,0.1067092683367364,0.2705114960010551,0.2285544645171734,0.24117720032049098,0.10119475978806011,0.25704692740960317,0.5943206217380768,0.12684801541810212,0.6291831316253786,1.0,0.5341332900939375,0.754259965068935,0.236909785253024,0.27644321230038466,0.0857244544956548,0.3028214519612488,0.04235330816957547,0.1948866627733559,0.33612903770204694,0.24369928826326565,0.30764331815088075,0.34049653411943137,0.3080756021620434,0.2808887427687946,0.13941775577717755,0.13789853014747214,0.22670505772621885,0.6449758826947325,0.4946517099507874,0.36434388323920075,0.25471233137220584,0.28719910560026607
objections_rebutted,0.08810909053962306,0.48165859537447486,-0.009566555045056194,0.0007596710121086468,-0.01097671556241477,0.019052617658474866,0.2564503500092989,0.08799725256145546,0.30760797335728945,0.28195943674394447,0.2198206928468553,0.15146010283542496,0.3009137495010622,0.7284623655329941,0.13544525526573306,0.7895033818089916,0.5341332900939375,1.0,0.2678354902180712,0.3054053237465939,0.27365894623412884,0.14067128320107278,0.41204529542227425,0.05148526181305803,0.19627147584281612,0.4591923687591055,0.24936957925509595,0.32449434393875926,0.43340903873442876,0.3810415935978217,0.3269603391419613,0.1375086584544315,0.21250698764272277,0.21651208927191518,0.36029370017170803,0.20016554524658772,0.46372815359688246,0.30996616811256894,0.37239984960022016
acknowledgement_rate,0.05988368170384463,0.2354450377841371,-0.028197126404691335,-0.013607301370400428,-0.02721183591968246,0.031376449700148225,0.25819031195051567,0.1345695994857594,0.2504803807001799,0.2210726711212148,0.22622123732724986,0.05734200028648762,0.20023814935184941,0.3354530317096838,0.10933271751625556,0.3122041988294573,0.754259965068935,0.2678354902180712,1.0,0.1389161715294504,0.24372379376899383,0.05430676781547472,0.20605026179696595,0.0226069630977457,0.1660233838397059,0.25730015751986424,0.20007364744645315,0.2231166111165619,0.24038043157307437,0.2070053643192242,0.20542761006346447,0.12443872045215998,0.15810823331601578,0.28401111660758965,0.5397274236484624,0.6256083047235247,0.239751474049326,0.17734879017052654,0.2155916382212421
price_mentions_final_2min,0.09340424565315732,0.3225027244914871,-0.023021330729132813,-0.06660781205110297,-0.004209347034689149,0.006841193001176285,0.18817082373484095,0.06795910279209247,0.2375149184748705,0.21211310428756028,0.18966230732654457,0.09817356337686965,0.29399245190251966,0.3316687358790364,0.1049399906826239,0.3359095657193305,0.236909785253024,0.3054053237465939,0.1389161715294504,1.0,0.36326867486949793,0.1963185979953,0.7479633886770474,0.019259683760628348,0.19130385283312315,0.30334190703267755,0.20659368068909387,0.2485195891561902,0.2922397033570061,0.20320656563014267,0.19018080222285524,0.07217692380757171,0.11143090719732511,0.19379518370980298,0.23396962179213165,0.13861035366688554,0.3135079010812592,0.22170524316721466,0.3325693302617529
timeline_mentions_final_2min,0.11046512292970981,0.28429693241549586,0.03363776772429725,0.002865023080264893,0.0367987551335613,-0.0010815270243010133,0.19338802088704568,0.053675762073394626,0.21884702537353773,0.19874687515308634,0.1647012706093995,0.09646719471233073,0.24024643394511555,0.28820698659075616,0.08390944152715847,0.27767986980853776,0.27644321230038466,0.27365894623412884,0.24372379376899383,0.36326867486949793,1.0,0.15708557118814773,0.7080162275218107,-0.0015765139528008973,0.1343930894585342,0.35913833475908635,0.14604855833095148,0.18194464312432365,0.2649506087709392,0.29944592767640854,0.21504080687314545,0.09851469854412437,0.15045505494777056,0.19980181364593275,0.21423452964069256,0.16588747731239342,0.2624413370734687,0.15410875095114168,0.25307454190666895
contract_mentions_final_2min,0.03133756076243818,0.13860537382808508,-0.001389235446234205,-0.00475645218052387,-1.4891774599541832e-05,0.021130754492731843,0.06468101486024881,0.02209098642279805,0.10618424082914316,0.04915781796791133,0.14012144787452596,0.08830894254234596,0.11051628624497005,0.15650043910688055,0.04242039233669523,0.16579703979843294,0.0857244544956548,0.14067128320107278,0.05430676781547472,0.1963185979953,0.15708557118814773,1.0,0.2829265568149061,0.0036146482036456783,0.06569018815931452,0.14545974063027212,0.0681875808104651,0.0771075992456024,0.13247117881600462,0.18049839237498477,0.08580725790239918,0.005215327543078758,0.047333282321771745,0.08691536183160084,0.10085616379977687,0.05301165885449064,0.11812202334587464,0.1004350985870725,0.12749866606145285
price_timeline_contract_before_dropoff,0.10208135844615804,0.41466029925309505,0.026055938687371372,-0.04247411768423768,0.04300697280785133,0.011262768727630787,0.23288770171192621,0.07244965475215662,0.3094607578219935,0.27745904827950885,0.24655205419292037,0.12126136544623149,0.35010482050487357,0.42194015699305343,0.09887129496013343,0.4258399394002756,0.3028214519612488,0.41204529542227425,0.20605026179696595,0.7479633886770474,0.7080162275218107,0.2829265568149061,1.0,0.012885393275947286,0.19190268268279806,0.43639112596608975,0.23706445487754302,0.28099808397508397,0.37236369208109377,0.33742570238265535,0.2622850336693099,0.0946268703001567,0.155928934467812,0.23019070246634837,0.2680791040968475,0.18673797547517249,0.38790890586505283,0.2613315531782385,0.37929658432290037
average_monologue_length,-0.040550937852975644,0.05132867335643434,-0.002135054273278937,0.021449628135654472,-0.009354828427338247,0.06659683195824784,0.014297685272271324,0.28399311603160166,0.008287195046170374,0.010943203579724586,0.0009073916805210225,0.00313096117393825,0.04364411623179261,-0.009461320974550545,0.06862931834449226,0.0022707506524123245,0.04235330816957547,0.05148526181305803,0.0226069630977457,0.019259683760628348,-0.0015765139528008973,0.0036146482036456783,0.012885393275947286,1.0,0.553625212053542,0.16381109927117293,-0.09499795610190971,-0.01786858487336953,0.0864348620721227,0.24230025026608604,0.00546266487821152,-0.04643146566673493,0.07104608736080338,0.08769892381837119,0.030492839364666017,0.01922934544289895,0.05355688090240417,0.04071763613611346,0.005396902333465094
longest_monologue_length,0.03434703314363562,0.34702646235271817,-0.03892373755940755,-0.014676946250300282,-0.03889472638124238,0.055785488788955784,0.15625388258794803,0.1350156727252775,0.23846907329225728,0.21774249116299074,0.19787092181935156,0.06949746766027264,0.2826432445992781,0.15134049080839757,0.08850155768549302,0.1673451315500945,0.1948866627733559,0.19627147584281612,0.1660233838397059,0.19130385283312315,0.1343930894585342,0.06569018815931452,0.19190268268279806,0.553625212053542,1.0,0.3311181758566036,0.10017305886702968,0.14043285176329312,0.24726767562610527,0.42973796056556285,0.1578473311189245,0.0034624655250615065,0.11703140576840285,0.18350497803877447,0.15002594456286117,0.11802834417322898,0.34604522263064674,0.2383065781040292,0.25700867361784513
extended_monologues_count,0.11484141548749154,0.6732350095637792,-0.06519833758669637,-0.06325770243687118,-0.052603749980343395,0.05546900926522933,0.33925527285065377,0.08939192723444032,0.5650749444176454,0.5189288090681794,0.4181488364833737,0.24606443409150291,0.4672955256354194,0.3632820579819827,0.15038508266897183,0.3549070252341283,0.33612903770204694,0.4591923687591055,0.25730015751986424,0.30334190703267755,0.35913833475908635,0.14545974063027212,0.43639112596608975,0.16381109927117293,0.3311181758566036,1.0,0.17355810234632507,0.3852941143171223,0.7637250765654244,0.6781914364935089,0.3884075634570914,0.06656524843531882,0.22028794688845102,0.33834109211398006,0.30541380175255467,0.23702054782627754,0.6465145287180877,0.438172278725314,0.5183262467822081
short_monologues,0.08541876369393034,0.40567962390894974,0.008128711057876836,-0.0037054914810797203,0.010319805597040144,0.029027045044759815,0.01691256406722811,0.2565031612907972,0.3863110790011321,0.35807424374908015,0.2905809390684959,0.1445480276946392,0.4672217317270245,0.27003559235697644,0.08355891960175937,0.24782187586680024,0.24369928826326565,0.24936957925509595,0.20007364744645315,0.20659368068909387,0.14604855833095148,0.0681875808104651,0.23706445487754302,-0.09499795610190971,0.10017305886702968,0.17355810234632507,1.0,0.6942202556168594,0.3727824304261261,0.13456731371683314,0.28654936494192335,0.1446811480111568,0.15075167950022503,0.2227375844280978,0.2497798576933156,0.16431942371312594,0.36990178059008577,0.23060539701105603,0.33277524625571897
medium_monologues,0.09678193772402047,0.5282181516926739,-0.0026701535915704218,-0.011520008566208086,0.0007429559037412803,0.009592305438626747,0.13857924742946595,0.18802815178951274,0.5043742433780107,0.4668334638416327,0.3776883485562794,0.2017679059398849,0.4917482533518811,0.319901960585194,0.1484893571614081,0.2920775885368309,0.30764331815088075,0.32449434393875926,0.2231166111165619,0.2485195891561902,0.18194464312432365,0.0771075992456024,0.28099808397508397,-0.01786858487336953,0.14043285176329312,0.3852941143171223,0.6942202556168594,1.0,0.6521005320703275,0.30614052531125957,0.36618008037368177,0.14474013150004442,0.16394504526574002,0.25970959277161154,0.3101459483269106,0.22686942755783196,0.500150591632015,0.3539220007443759,0.40283888506642956
long_monologues,0.10320057191562204,0.6390915876552159,-0.041029948275160134,-0.06672400365230531,-0.024370820333887842,0.04160697353499503,0.23239108208120954,0.12323938716285965,0.5246684162267599,0.4785342041911698,0.38747915316150444,0.24001123147441045,0.5383978339975006,0.36662368486419755,0.18428069153847543,0.3352195905868934,0.34049653411943137,0.43340903873442876,0.24038043157307437,0.2922397033570061,0.2649506087709392,0.13247117881600462,0.37236369208109377,0.0864348620721227,0.24726767562610527,0.7637250765654244,0.3727824304261261,0.6521005320703275,1.0,0.5792011080916216,0.3601236351676379,0.07218837853335622,0.17608336985711992,0.28555926289304756,0.323120611672017,0.23785385007692156,0.6148803548141155,0.44532537504660846,0.4613917826674411
very_long_monologues,0.08846143031745593,0.6066553001850887,-0.02755868662652824,-0.009500288061384378,-0.027828342224693194,0.05825576772119808,0.16117084481065985,0.0692386565360195,0.42237960784507156,0.407773206376799,0.27472852046353313,0.19077943395375846,0.37704789328657345,0.28117276065158386,0.1280409942257754,0.2846589354751137,0.3080756021620434,0.3810415935978217,0.2070053643192242,0.20320656563014267,0.29944592767640854,0.18049839237498477,0.33742570238265535,0.24230025026608604,0.42973796056556285,0.6781914364935089,0.13456731371683314,0.30614052531125957,0.5792011080916216,1.0,0.3351246671656892,0.03491229841774154,0.13853661245375276,0.17815919535175828,0.27902164848854316,0.1950928988914413,0.6033944739449527,0.37252308347560303,0.3671498337116717
total_interruptions,0.07977552091789905,0.40783574187990823,0.01656265426030277,0.04852199045768828,0.0028333605505983864,0.03293176332550338,0.15753938072796517,0.07747734344442356,0.3609284186911903,0.3460729263183483,0.26692582426472555,0.11098928678786596,0.2545685150608458,0.27319481631706655,0.15095842120323139,0.26889188790154617,0.2808887427687946,0.3269603391419613,0.20542761006346447,0.19018080222285524,0.21504080687314545,0.08580725790239918,0.2622850336693099,0.00546266487821152,0.1578473311189245,0.3884075634570914,0.28654936494192335,0.36618008037368177,0.3601236351676379,0.3351246671656892,1.0,0.7039622197633777,0.1445706920891152,0.18215051887690686,0.25405058288005333,0.16792671523467437,0.37089390627939106,0.24892911221430375,0.31092436911640725
interruption_rate,0.015957060426908126,0.04664924892860578,0.009900604486575655,0.0724417184788444,-0.012400307513898978,0.035866884334870584,0.15259047700392894,0.10637979920650262,0.12721244363877351,0.12239373117274702,0.10772181956465156,0.012962773797566952,0.039661475175935684,0.17327869896838138,0.056673077023044326,0.166929134501502,0.13941775577717755,0.1375086584544315,0.12443872045215998,0.07217692380757171,0.09851469854412437,0.005215327543078758,0.0946268703001567,-0.04643146566673493,0.0034624655250615065,0.06656524843531882,0.1446811480111568,0.14474013150004442,0.07218837853335622,0.03491229841774154,0.7039622197633777,1.0,0.16521256347426377,0.136238244097412,0.10650690321130434,0.09816669611121023,0.014286503264370034,0.029380811076852212,0.06565803788382274
name_usage_count,0.03783277960583678,0.08315146642852608,0.024727795116192774,-0.007943240222582117,0.030313016741905004,0.07413936105045411,0.35317256461293195,0.34714153189443653,0.19506259805036502,0.20153985160479676,0.11786421706016717,0.06457864432747167,0.15028541290434402,0.20052673350580863,0.092132240434955,0.23343267248996305,0.13789853014747214,0.21250698764272277,0.15810823331601578,0.11143090719732511,0.15045505494777056,0.047333282321771745,0.155928934467812,0.07104608736080338,0.11703140576840285,0.22028794688845102,0.15075167950022503,0.16394504526574002,0.17608336985711992,0.13853661245375276,0.1445706920891152,0.16521256347426377,1.0,0.4601721585926302,0.0924091104325987,0.07809791753788657,0.07397674747352964,0.0950600662501593,0.12199774273300802
