,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_User,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
lgs_sentiment_style,-0.0948434195196548,-0.013381217403130545,-0.06859605829779813,0.019895996960880166,0.1193322660792748,0.06346624000962715,-0.27277800898637333,0.0872019886951355,0.14956442717365254,0.09778142865738905,1.0,0.23015935475459603,-0.2618234888127693,0.01647038066970793,-0.026837007064738672,0.1664269164575341,-0.1665338934309827,0.31337696856861347,0.07266805412832096,0.24343355471851824,0.2847094024177968,0.1445432430863238,0.036953375116307516,0.1950366966625981,-0.13784668188468424,0.061324984935065545,0.09797663886588662,0.2985565550827461,0.08985433040241189,0.07650920852751066,-0.20129146868474979,-0.23012183014014773,-0.1483506099251446,-0.16103655006312662,-0.18638926172051648,-0.11567440336692376,-0.08422332052039987,-0.10923277663620966,0.01996205870822049,-0.04490755915403135,-0.12861497223320484,0.1408549922747048,-0.07836130430232713,0.05667603791873708,-0.14038878599884336,0.18950231144538712,0.02811347931490984
lgs_agent_gender,0.04727970729006915,0.22167529023001786,-0.23887039960707632,0.020113674884377757,0.03331407093180918,-0.09557415815997387,-0.036375567449198495,-0.11966288971549724,-0.08172944748567933,0.14987723051436702,0.23015935475459603,1.0,-0.10978999697346245,0.16270238289138814,0.1179138373548649,-0.043892213858470926,0.05135818787575777,0.18874336144724024,-0.1652324205662825,0.38631015664832224,0.32050791086221575,0.24452868637731173,0.4140473569201954,0.21498604496667642,-0.09798142033748303,-0.11311585843758426,0.26296423380352313,0.05246480613001856,0.17181903736009166,0.1807391149224576,-0.01329855031251828,-0.08506425916380703,-0.13244551190380488,-0.16327159189307738,-0.07333286696653962,-0.08364788999431937,-0.1318034161816742,-0.11832235590306699,-0.1313659062057355,-0.21679255238903922,-0.056899857044156746,-0.030827512511425025,-0.1582672497925734,-0.16837232017406847,-0.012443953220343902,0.24107204045977892,-0.019237961367825816
TO_length_in_sec,-0.07032519583845125,0.231975812778673,0.03734783354292437,0.026145298694424557,-0.2743733794933703,-0.17263821683607516,-0.027857980386678763,0.04976380350300673,-0.1891316771822129,-0.22669484758852124,-0.2618234888127693,-0.10978999697346245,1.0,-0.11080998960404138,-0.09560046702023255,0.07234135139367563,0.1626457550480749,0.052796290583570424,0.049521237385155785,-0.05542758669706383,-0.20358350915822826,-0.08248908729724262,0.04169830082710121,0.13972199379798622,0.06789156880041919,0.050878742964688445,-0.01770822186067237,0.004737499079207627,-0.14895612491548593,0.03464172699757523,-0.014081107406555713,0.1276544028075752,-0.02142603267470249,-0.09597248271195521,0.029639908654653872,-0.07620083316423686,-0.07440634685991009,0.013472685752115396,0.06956918396347361,-0.06506140898065017,0.027243382265736294,0.06593484335937322,-0.09403805533734623,0.1363434056933287,0.2751082243432171,-0.1044234984343371,0.08421822253142364
is_decision_maker,-0.035335298180599425,-0.10327272601832531,-0.11763761587748295,-0.11921605681181209,-0.1006735522547388,-0.15698672390039703,-0.04893410902028798,-0.09010900160637883,-0.02070520521547396,0.11787902112009033,0.01647038066970793,0.16270238289138814,-0.11080998960404138,1.0,0.4253455612423311,-0.09882715318176297,0.3252085445788079,-0.10131028457179336,-0.028821091701925455,0.3308000333871196,0.2722029445962521,0.32932378516408867,0.22430329358248952,-0.044770571946698826,-0.02024351040873432,-0.02006531967754005,-0.02352400179139607,-0.08124795905714137,-0.06785149109354244,0.15556326445339552,0.026677202798995277,0.09578169977388715,0.09988874294978725,-0.007866636050222232,-0.04051021327478329,-0.12786959646176305,-0.03407249934825137,0.07691812647110752,0.06218995842952555,0.10260138920196814,0.07594990409553871,0.07601052574014733,0.02254900834161964,0.0597919361085537,-0.01603593983250056,0.1733516282966443,-0.007480349137428023
ready_for_customers,-0.0012364804699084098,-0.05418379540666544,-0.25946052698295297,-0.07128194016059505,-0.016686574849443744,-0.14519937430669783,0.09730557601888898,0.060415876376757646,0.1176988816055062,0.06121306517166265,-0.026837007064738672,0.1179138373548649,-0.09560046702023255,0.4253455612423311,1.0,0.015813730770295263,0.21604769020430686,-0.04170031992556967,0.0778211821158804,0.2494310596355051,0.15633021872743666,0.1823050117682288,0.24588011844965388,0.06829004460078077,0.06358965897282189,0.03747252339345473,0.16681820311014486,-0.0778185245595217,-0.01184375735819912,-0.03114836863045622,0.04294156756988342,-0.0749568831260661,0.05359128416803935,-0.024338490459731167,-0.03650313355123669,-0.13720726021306934,0.021542876356089032,0.04363592976239788,0.13631431671796418,0.13463222677921255,0.13439741749511408,0.1263609204430407,-0.01845019258217313,0.08874337632498999,-0.11197700579107477,0.08393897320830414,0.022251081083549628
forbidden_industry,-0.029677344257396022,0.023669491639435367,0.020543593105067332,-0.01880904576915585,0.14839778007009424,0.05171291725626285,-0.07394539654911034,0.19900558161243928,0.0778675395711701,0.1050379417565058,0.1664269164575341,-0.043892213858470926,0.07234135139367563,-0.09882715318176297,0.015813730770295263,1.0,-0.0846743835647157,0.008481598549468434,0.04337878101712632,0.21062875747812507,0.11098072015991009,0.07879088926755252,-0.03617262482049135,0.17104396414157272,-0.02842797198711679,0.12586394132198286,0.03189942364314621,0.02536883934746363,0.03755724119439485,-0.06341829579576676,-0.18900259552977625,-0.08238953092658706,-0.06800304373933015,0.01147720102333901,-0.12931925290481713,-0.11532426866728951,-0.069102147370515,-0.15020928606636452,-0.004761852101753909,0.050265688836825785,-0.05104422132501874,-0.05609575262335825,-0.014581042938199193,0.03363922751273584,0.012436289298076034,-0.11660638502886744,0.11479520277136462
ready_to_transfer,-0.16022857717994105,0.09895604301723984,-0.10972719951337907,-0.05693507542460962,-0.015057042978797255,0.07503432403986025,-0.03735691426338034,0.14481317079157996,0.09792668375049347,0.12843502197219103,-0.1665338934309827,0.05135818787575777,0.1626457550480749,0.3252085445788079,0.21604769020430686,-0.0846743835647157,1.0,-0.1215560242974242,0.12469978264474824,0.30877475820877354,0.23751216268809894,0.23069696667161524,0.18936175045116038,0.16223608797234074,-0.00989355278921971,0.07784093261436477,-0.14445318943365765,-0.11639787416229759,-0.1169551162079869,-0.005598537153173482,0.09945052352266147,0.17683295949470987,-0.0005576077079193513,0.16092012661105032,-0.049943347363602765,0.10334012249878954,-0.024007843734822874,0.02339688344961571,0.13642199274838612,0.12145409257069395,-0.015745322925559493,0.025564340309295525,-0.059356178427079895,0.06215067910634031,0.16514460106670004,-0.07852922856243756,-0.031246395385027
customer_sentiment_lgs,-0.08977612863170259,0.09981348597831062,0.04813340765378496,0.0439683811819404,0.016574857951899103,0.026031682974397705,0.0911899358208521,0.10598788357678529,0.15509824519399915,-0.13319336673213336,0.31337696856861347,0.18874336144724024,0.052796290583570424,-0.10131028457179336,-0.04170031992556967,0.008481598549468434,-0.1215560242974242,1.0,0.028294540441618804,0.24254542529014322,0.3721974443461435,0.4022628533426923,0.2976959698434312,0.47137741631017827,0.015598514238137304,0.006565137165343434,0.09077735767913889,0.16893394307414106,0.2782243884691212,0.05431054178681376,-0.17876405222760197,-0.3278677069768184,-0.1430329191979029,-0.24979963295440263,-0.18635401681331526,-0.20735847439824714,-0.17986312474696103,-0.1843284296740401,-0.03406563008083632,-0.2100483720742876,-0.01866588256006045,0.1598348085356088,-0.14647386648988361,0.017414714456211396,-0.2215019819064908,0.23073241335689793,0.05632421022272516
customer_sentiment_omc,-0.06538278103860512,-0.09957067759994231,0.10007363470292295,0.017034181244352506,-0.019946186851405943,0.05608175130731801,0.043620096953364496,-0.09453982973882281,-0.009468483677446158,0.16101734084692035,0.07266805412832096,-0.1652324205662825,0.049521237385155785,-0.028821091701925455,0.0778211821158804,0.04337878101712632,0.12469978264474824,0.028294540441618804,1.0,0.005040329612882216,-0.025303113804872955,0.07590934141461886,-0.1722149415415317,-0.022871685037049262,-0.15045902354351096,0.03460432682380001,0.04340315977226322,0.07495168994513551,-0.21491211598179663,-0.35442122894385064,0.3778693153069915,0.16287644045489066,-0.16068501253127637,0.18003584949676157,0.43831686883995236,0.26118142276856277,0.3195450540382974,0.11357373054670686,0.8449036237824795,0.3798847249603141,0.2947809889673769,0.33593090192483693,0.10127701196797054,0.49240971249644805,0.13640634835406784,-0.07899517131210905,-0.003537913192399417
customer_language,-0.06951606491610905,0.012426994048980332,-0.12439425375995418,0.024170997673056784,0.0924828043916519,0.0606418976442706,0.09736875406220186,0.016055997515676337,0.26084986327188353,0.1805142656726419,0.24343355471851824,0.38631015664832224,-0.05542758669706383,0.3308000333871196,0.2494310596355051,0.21062875747812507,0.30877475820877354,0.24254542529014322,0.005040329612882216,1.0,0.6179231527598069,0.5687357925023891,0.5216942459541537,0.23850197135229262,-0.06701844823289908,0.010845339462161754,0.07167475675279898,0.14567692896294607,0.044816277481114046,0.2397321730463587,-0.11845223312630478,-0.08922965108317141,-0.026845525800863433,-0.07447899478280513,-0.058056558483965966,-0.15309588637465135,-0.08702342958587209,-0.116758189839976,-0.0054689517103338105,-0.025618279365267532,-0.05040578658717712,-0.07403884777486357,-0.04097317609432272,0.07088003736482239,-0.05351231672337173,0.12833518829636964,-0.0907063842348077
