,TO_Lead_ID,TO_Phone,TO_length_in_sec,Calls Count,Connection Made Calls,Dial Attempt Calls,lead_id,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,LQ_User_encoded,LQ_Customer_Name_encoded,LQ_Company_Name_encoded,LQ_Company_Address_encoded,LQ_Service_encoded
total_discovery_questions,0.19039558645932286,0.008806543201321052,0.142116417809742,-0.01313707764914114,0.001572223797133751,-0.01624292036571709,0.19039558645932286,0.005695315576568214,0.24964192834029636,-0.23287502393195517,1.0,0.9278091370150053,0.7944920168844798,0.40422554399371996,0.5711038489925991,0.2851365566430368,0.03676021402754983,0.2717560611346847,0.27787468318179975,0.327392597033976,0.24449492827218727,0.27889821167287465,0.26686774302534455,0.08811991017872679,0.3308604034911261,-0.051870848472725696,0.2767959965942624,0.49440067325982173,0.6633108561281703,0.7029416850900826,0.5012551696207048,0.29592643770844107,0.3827455100560012,0.21836233058179746,0.089859998395555,0.2805423591625284,0.24595134837449004,0.22934505311418027,0.7771238588598147,0.47868664287827617,-0.06950644761954611,0.02450425240564931,0.041617597548588015,0.07089890761501745,-0.022300481661738647
goal1_questions,0.18584395161923703,0.006196893844170259,0.12470597224371102,-0.020971420268361646,0.006247710410923756,-0.02432655569384869,0.18584395161923703,0.0018032118009347823,0.23355190381193205,-0.21723654306922138,0.9278091370150053,1.0,0.549333717361311,0.28981383735706073,0.5110074825625842,0.2320245759861683,0.02708365741144275,0.2207179033429022,0.2371599341566989,0.28873718099368206,0.21488085728792078,0.24420980288335842,0.2404683207156814,0.04603629827504955,0.2811663182197696,-0.0987845157840246,0.2024497397550326,0.4072803357317032,0.626299472746304,0.6378540998472128,0.4234495277570727,0.22062643077300678,0.3494772328611087,0.20080784911890473,0.09632783827850613,0.28648535250966695,0.214746837488932,0.20176874362102154,0.6983243245277794,0.4409120718681271,-0.10053263273342261,0.015227302894730737,0.0550419101610505,0.06783112295659786,-0.012864124467646525
goal2_questions,0.14177128383093046,0.008213681952091004,0.12004891441178192,0.001648783750816734,-0.01206135923696964,0.0011455012049001734,0.14177128383093046,0.006024976591422997,0.20794563026680016,-0.19533139064474578,0.7944920168844798,0.549333717361311,1.0,0.32192386359204433,0.49487499207868774,0.2815383896936495,0.03543913935216045,0.272446935611619,0.24617065424212184,0.29006191940726983,0.20543807202829162,0.2533071314840808,0.25099074615393874,0.12813742823981597,0.3197011006969644,0.026919983967838568,0.3069757412548391,0.4844888537659905,0.5283963624419862,0.5930708009541001,0.47831581072950374,0.30710036111034517,0.3308273425620206,0.1940456198814348,0.05685853240453612,0.20796656689258972,0.21436514078336408,0.19723986291641887,0.6741951313333004,0.41676200494248694,-0.0035501687364687946,0.031100048854327083,0.029500476467688642,0.03980489217172857,-0.019407823830547434
goal3_questions,0.047433151877724004,-0.0008779069550630935,0.06989640965532323,0.019549603050041643,-0.005166314563882514,0.020749176509434395,0.047433151877724004,0.008864789596941937,0.07245584675953733,-0.06768613343133126,0.40422554399371996,0.28981383735706073,0.32192386359204433,1.0,0.3022470334922896,0.16387455694464806,0.029577367947050688,0.15329334069559003,0.14198587151381192,0.1615234409906364,0.11064910832046335,0.14619903617169527,0.12719009310911447,0.0421206392006859,0.1625200953586297,0.042254154201266915,0.16842075761163758,0.2587081767185268,0.26138678850316044,0.3099923460766624,0.25501572234531816,0.20465008223296358,0.13749355325941293,0.051273569431703726,0.06634717820432841,0.03765378896043211,0.1282644791678602,0.1104034685751391,0.33677087925293764,0.1860788761195376,0.0803119182328351,0.06511814675223573,-0.01092036232014173,0.04779974877612546,-0.0350115971212572
total_buying_signals,0.17109571216589223,-0.011445275159497385,0.14589424036026766,0.013962692072694016,0.005827147537785955,0.01704968269841855,0.17109571216589223,0.04444345897326322,0.17314261860396551,-0.16209392446496204,0.5711038489925991,0.5110074825625842,0.49487499207868774,0.3022470334922896,1.0,0.2709150543708335,0.12141344912717235,0.28680724023452847,0.27881991198446043,0.3796178081901559,0.24245566225375645,0.40271864464058216,0.3973724497371832,0.1415697722599955,0.49292786978934605,0.10926482574101168,0.3651325659092058,0.5511536806914077,0.5258359921955942,0.6063580039018539,0.5203758703847565,0.41023850595842465,0.4042488764752815,0.21776482407380293,0.11468580083513989,0.22970977069710613,0.2359482166387446,0.21967825135053218,0.7354918047614335,0.4330541803998384,-0.09416374025473649,0.018580804868697766,0.06790315405743103,0.009474980014917827,0.022077686920591283
total_resistance_signals,0.015346418069354082,-0.02884047880307605,0.12696321910651895,-0.06274234810958294,-0.013953704156803512,-0.05520989517532723,0.015346418069354082,0.016310611090641986,0.2761830111161672,-0.26139617442802787,0.2851365566430368,0.2320245759861683,0.2815383896936495,0.16387455694464806,0.2709150543708335,1.0,0.06314837885158,0.9488789105087996,0.5528989830823,0.7258058274329786,0.4177188461056385,0.2924914953697822,0.34561699692868,0.06645868540142467,0.41412844162400064,0.007758329461387727,0.20042972933905104,0.31403792874060243,0.3514207074860416,0.3736410669004918,0.3191538083323645,0.18938953010022097,0.38553526674813854,0.30556037640315853,0.13069526235472648,0.09387925744189149,0.40294390916996947,0.351778485454703,0.4642532928093882,0.3240721311149357,-0.002436577095455873,0.03145444769627468,0.004719110005633053,0.027224589247199726,-0.033608541498605905
time_to_reason_seconds,0.013550559325585243,0.009003123855862282,0.051578562322529636,0.00702319144898685,-0.026277553053042562,0.01972975204322773,0.013550559325585243,0.0059372703493971194,0.020211111776237113,0.0006971710464712496,0.03676021402754983,0.02708365741144275,0.03543913935216045,0.029577367947050688,0.12141344912717235,0.06314837885158,1.0,0.07750274834460795,0.03758894504479373,0.10288043843613227,0.03570393403960692,0.12887632121988288,0.08050228947986257,-0.009385336845831363,0.12676728586716873,0.14931748355965674,0.24230207524365105,0.19553165351226956,0.06642086106121467,0.08835377752160496,0.1750287909263422,0.16199227374862601,0.09892466942902844,0.05916929998948427,0.12708751171115595,0.1468350119601151,0.056570948731756145,0.05867145270292552,0.19992317765063966,0.1475717179406003,-0.047290704051748525,0.026915091750334595,0.032392887634725406,-0.03582985757702206,0.06065287716476776
total_objections,0.026246125065711574,-0.04200135285377996,0.13603502646082136,-0.04076362700156199,-0.005926329017768781,-0.03303431642956492,0.026246125065711574,0.012509207846766153,0.27094511520224246,-0.2561673219477219,0.2717560611346847,0.2207179033429022,0.272446935611619,0.15329334069559003,0.28680724023452847,0.9488789105087996,0.07750274834460795,1.0,0.5708876672704434,0.7533430653068198,0.41960852523964576,0.3143475501157673,0.3469962216705395,0.07943530463937538,0.4379946694735941,0.019282837095352685,0.21615199177619723,0.32897655657604036,0.3439977179598577,0.3817178494151935,0.33217632686250986,0.20808980489904474,0.3944136401978751,0.3085307642658052,0.13599313603062965,0.08848220875001882,0.4035886461874779,0.349892625028277,0.47366449482617934,0.32345732456874854,-0.013062945809837396,0.011687762673851349,0.014241279037950286,0.02095229874244804,-0.035826053319828945
objections_acknowledged,0.02533608650445503,-0.007566679661553011,0.0909695203834945,-0.04698219648499891,-0.016499629823497286,-0.03811504156171406,0.02533608650445503,-0.02662591006920099,0.1560517965757981,-0.14679382610365233,0.27787468318179975,0.2371599341566989,0.24617065424212184,0.14198587151381192,0.27881991198446043,0.5528989830823,0.03758894504479373,0.5708876672704434,1.0,0.5095487712373,0.9369392568360827,0.1619821549060624,0.2656854672475881,0.05019195798277991,0.2894473944958408,0.04736680477271714,0.20218545204276256,0.32940436396130096,0.26254899860774855,0.33185194349328834,0.33637774778471075,0.20380003360344334,0.28612820359436325,0.20251750535365778,0.04020727964532773,0.14152318478853065,0.683054916805167,0.6609339807969201,0.3921588581998872,0.2620184621791936,-0.05208938284225924,0.006846352859034491,-0.01623125870755781,0.012243832691270438,-0.03520470227574484
objections_rebutted,0.06520906872785939,-0.023235450887060517,0.1143660479143737,-0.006653998227429524,0.015814702948795487,-0.002555850004101265,0.06520906872785939,0.010547035056908462,0.18647001643729172,-0.17601673050546635,0.327392597033976,0.28873718099368206,0.29006191940726983,0.1615234409906364,0.3796178081901559,0.7258058274329786,0.10288043843613227,0.7533430653068198,0.5095487712373,1.0,0.3936588093696785,0.3172920222613276,0.3484458164357472,0.08242019574015781,0.4103435269176977,0.11548897164507009,0.2914144511258854,0.42011468948712394,0.3357015878285284,0.4024601159851178,0.4054785745767989,0.2947803970550175,0.3731087236917206,0.24490933446635346,0.1468794468193148,0.1328132987837376,0.41623869337447855,0.3764111142079988,0.5210147740420243,0.3609185590893135,-0.046197018077354934,-0.006752613097744323,0.02148312976161623,0.018120373781896626,-0.0499687652455397
acknowledgement_rate,0.019853292055146205,-0.0021602749485893366,0.08211550613667688,-0.04300572787478897,-0.017131539121562157,-0.03365056182456367,0.019853292055146205,-0.017904245025640628,0.14174898039854325,-0.1324517488162845,0.24449492827218727,0.21488085728792078,0.20543807202829162,0.11064910832046335,0.24245566225375645,0.4177188461056385,0.03570393403960692,0.41960852523964576,0.9369392568360827,0.3936588093696785,1.0,0.10864163915780277,0.24218106418480653,0.0464586857398423,0.23616760244048537,0.027155442088496247,0.16724424247644604,0.2795369089392069,0.22746704937080697,0.28999759720315355,0.2867612964067045,0.16089484253938066,0.2277980607364728,0.16048007041120418,0.022911186660228493,0.14500806537265998,0.6404393602121038,0.6557186815168712,0.3310123925826204,0.22571135270207074,-0.045864975438861276,0.004950784962158593,-0.013576168284694124,0.007556621553275066,-0.030329764914111604
price_mentions_final_2min,0.10270450938821432,-0.03544428343941655,0.08238788838482487,0.010784769802530476,-0.014047623220261193,0.023592140220611478,0.10270450938821432,0.009738446906902735,0.06889574951665799,-0.061234353523612825,0.27889821167287465,0.24420980288335842,0.2533071314840808,0.14619903617169527,0.40271864464058216,0.2924914953697822,0.12887632121988288,0.3143475501157673,0.1619821549060624,0.3172920222613276,0.10864163915780277,1.0,0.459558696670945,0.2065080664356964,0.7684645664402945,0.07100561648012743,0.2447630233755925,0.30639108525362113,0.28996847356638566,0.33005660288635724,0.27926790496991744,0.25451447810735334,0.2470556369608793,0.14971889033401892,0.10605091946215753,0.12788470212967631,0.16111901843778617,0.13699724584886158,0.42340043171859804,0.22615521517510118,-0.05991781287783666,-0.011649010566863153,0.07479587855751817,-0.03039517494195842,-0.008366610258091645
timeline_mentions_final_2min,0.08133849195833139,-0.04093137251567389,0.11436011375955843,-0.027564880950394187,-0.006751757973869641,-0.018226396948217743,0.08133849195833139,0.009338794187363988,0.14064785021548734,-0.13239430491330462,0.26686774302534455,0.2404683207156814,0.25099074615393874,0.12719009310911447,0.3973724497371832,0.34561699692868,0.08050228947986257,0.3469962216705395,0.2656854672475881,0.3484458164357472,0.24218106418480653,0.459558696670945,1.0,0.18169107197929554,0.7874283464435847,0.12960409269656614,0.27498940137796096,0.3556587026533348,0.24092228531876905,0.3266735119360689,0.3364115997343126,0.2931561312130674,0.2524585749326251,0.13749319312208783,0.10678673539293,0.15877814866059842,0.25496058638651564,0.240314880617576,0.43054651512681436,0.2925856357881992,-0.013009580283017335,-0.0020538496179136416,0.03969673150203614,-0.03444561440173793,0.0038083302887348598
contract_mentions_final_2min,0.05242726034026871,0.026426105635226474,0.017989801773518756,-0.02427383986237025,0.0011755598021797357,-0.028414179494498433,0.05242726034026871,0.019526214663527056,0.015790389402111863,-0.013135791326459458,0.08811991017872679,0.04603629827504955,0.12813742823981597,0.0421206392006859,0.1415697722599955,0.06645868540142467,-0.009385336845831363,0.07943530463937538,0.05019195798277991,0.08242019574015781,0.0464586857398423,0.2065080664356964,0.18169107197929554,1.0,0.2545338548397353,0.05389230710562311,0.10964877215998928,0.15114146155558672,0.06979631505124852,0.11999964959698027,0.1379771153563572,0.1211111358483277,0.11250182165522164,0.06471359969738316,-0.03339883912904374,0.025529468343285976,0.08743500523841854,0.08196477588644077,0.13381161588177007,0.06045126388388152,-0.005299546197587762,0.01383792173486086,0.0308064089054365,-0.007347720495387875,0.012530416562195574
price_timeline_contract_before_dropoff,0.10683060415714227,-0.04869411513386441,0.12424947229936689,-0.015038250371405302,-0.00791472520996715,-0.005057398303328887,0.10683060415714227,-0.005961516888652864,0.13172630636622384,-0.12138885051305108,0.3308604034911261,0.2811663182197696,0.3197011006969644,0.1625200953586297,0.49292786978934605,0.41412844162400064,0.12676728586716873,0.4379946694735941,0.2894473944958408,0.4103435269176977,0.23616760244048537,0.7684645664402945,0.7874283464435847,0.2545338548397353,1.0,0.11928196815507557,0.32409454419336653,0.42131148247981787,0.33723456154626524,0.4154598409732382,0.39273704420551087,0.3368819533797568,0.32554100805120345,0.19746727586697055,0.1309627609071036,0.15736048610042974,0.2503291525704786,0.22876797259389434,0.5356420962781258,0.3179607976407039,-0.04159629472726424,-0.0037955649262742175,0.05187402817837532,-0.01810055026834855,-0.003478114797108624
average_monologue_length,0.020856455019114643,0.016782280848409433,0.0199916295395355,0.012441068882359648,0.0046955801265405476,0.004261589218548772,0.020856455019114643,-0.006769929759937473,0.1791776519621471,-0.15941292933610113,-0.051870848472725696,-0.0987845157840246,0.026919983967838568,0.042254154201266915,0.10926482574101168,0.007758329461387727,0.14931748355965674,0.019282837095352685,0.04736680477271714,0.11548897164507009,0.027155442088496247,0.07100561648012743,0.12960409269656614,0.05389230710562311,0.11928196815507557,1.0,0.7101964641376549,0.5181390523664655,-0.46333874973713124,-0.01689575977860427,0.40920767880096826,0.5388830680979583,-0.032209674775994436,-0.09823230146690361,0.05176269585791669,0.07539959418562105,0.035392779774434675,0.028933186987799637,0.11809184861210349,0.10046611766358737,-0.0254827208871383,0.03357979732414783,0.024007862335718434,-0.02758839966526532,0.0076368229760877685
longest_monologue_length,0.11066805960504196,0.01225078418911936,0.1224799993161793,0.008759559260407813,-0.016173455859586378,0.007853293808079349,0.11066805960504196,-0.0003035138475717557,0.18321873775971534,-0.163096735917949,0.2767959965942624,0.2024497397550326,0.3069757412548391,0.16842075761163758,0.3651325659092058,0.20042972933905104,0.24230207524365105,0.21615199177619723,0.20218545204276256,0.2914144511258854,0.16724424247644604,0.2447630233755925,0.27498940137796096,0.10964877215998928,0.32409454419336653,0.7101964641376549,1.0,0.6846099682405068,0.028768953441065278,0.23281655625187905,0.5519025605619743,0.7177412934829256,0.19085970053752468,0.05366867712615723,0.14373759657061708,0.2067941520551473,0.16042723943656126,0.14874116984084537,0.4878935287436856,0.32527584017554584,-0.042811940881909066,0.02549617918162849,0.06436604178261172,-0.004129415924239434,-0.01440029544008958
extended_monologues_count,0.1543335098479194,0.012847193908643645,0.15301123987887622,0.0027137911740615704,-0.0011508884004736966,0.001724497989932571,0.1543335098479194,0.0192199833320343,0.28664065933657923,-0.2701389698877497,0.49440067325982173,0.4072803357317032,0.4844888537659905,0.2587081767185268,0.5511536806914077,0.31403792874060243,0.19553165351226956,0.32897655657604036,0.32940436396130096,0.42011468948712394,0.2795369089392069,0.30639108525362113,0.3556587026533348,0.15114146155558672,0.42131148247981787,0.5181390523664655,0.6846099682405068,1.0,0.2176136820891378,0.48906452391105254,0.9174315080048917,0.5958751339788442,0.32666158301339576,0.14907516798164783,0.1374622242043425,0.28713324866558954,0.28089652611864635,0.261633160994095,0.7030429091046141,0.4383752041254489,-0.061159875685930364,0.04293035039132449,0.08612256035932164,0.0006992939825541646,-0.001389253185865334
short_monologues,0.14719615922309873,-0.006463604540859581,0.1562439213611152,-0.005426502473406394,-0.006839484441484247,0.003550311323997996,0.14719615922309873,0.006786641430342227,-0.028171005093173888,0.04713988602224188,0.6633108561281703,0.626299472746304,0.5283963624419862,0.26138678850316044,0.5258359921955942,0.3514207074860416,0.06642086106121467,0.3439977179598577,0.26254899860774855,0.3357015878285284,0.22746704937080697,0.28996847356638566,0.24092228531876905,0.06979631505124852,0.33723456154626524,-0.46333874973713124,0.028768953441065278,0.2176136820891378,1.0,0.6013601133861889,0.25847505767242657,0.09347190997879726,0.4423277023655874,0.3036549857795686,0.1340928127553567,0.1860642454248603,0.24312557233284768,0.2267196446774058,0.6711888365744715,0.41418019510914256,-0.058295634093415344,0.007866673239786974,0.03179102850603235,0.030748628803107473,-0.02165817994259366
medium_monologues,0.18902725862688627,-0.01884817844878444,0.15699012035076346,-0.019519879851625843,-0.008008550799738418,-0.013791909978486555,0.18902725862688627,0.01517916559622402,0.1984758530110026,-0.18036675425247808,0.7029416850900826,0.6378540998472128,0.5930708009541001,0.3099923460766624,0.6063580039018539,0.3736410669004918,0.08835377752160496,0.3817178494151935,0.33185194349328834,0.4024601159851178,0.28999759720315355,0.33005660288635724,0.3266735119360689,0.11999964959698027,0.4154598409732382,-0.01689575977860427,0.23281655625187905,0.48906452391105254,0.6013601133861889,1.0,0.5111368314369026,0.24281803007312852,0.41884072025689845,0.2513204951844374,0.11269839469977484,0.26603046943798625,0.3021168066084209,0.281226413517118,0.7605505000850934,0.48041268980711926,-0.14471063373238094,0.035928802648530496,0.050201595078902206,0.032407328785780905,0.001008207436928553
long_monologues,0.14593053596465572,0.017739011900471467,0.14639436313415075,0.008995577352300877,-0.0011426493904600301,0.010721200725357743,0.14593053596465572,0.035868829225676455,0.27381331351745125,-0.2579160258580958,0.5012551696207048,0.4234495277570727,0.47831581072950374,0.25501572234531816,0.5203758703847565,0.3191538083323645,0.1750287909263422,0.33217632686250986,0.33637774778471075,0.4054785745767989,0.2867612964067045,0.27926790496991744,0.3364115997343126,0.1379771153563572,0.39273704420551087,0.40920767880096826,0.5519025605619743,0.9174315080048917,0.25847505767242657,0.5111368314369026,1.0,0.41255205539312534,0.3298229750289976,0.16086112119346746,0.12309358602417664,0.2804270250811941,0.28533191840182376,0.2682977887635226,0.6766236804023427,0.42077874523690206,-0.06806091674747604,0.04174002475256773,0.09140633110774121,0.013859040063134147,0.007523805163507252
