Variable,RF_Importance,XGB_Importance,Abs_Correlation,RF_Importance_Norm,XGB_Importance_Norm,Abs_Correlation_Norm,Combined_Score
timezone,0.006016935249877797,0.0,0.058393594829107,0.029265721470908456,0.0,0.06896761553149142,0.030933287174265384
ready_for_customers,0.0027851674823264096,0.0,0.0719243393015541,0.013546753023352131,0.0,0.08494853236597662,0.03022592326796623
within_45_seconds,0.00486009693591321,0.0,0.0467239584689074,0.023638985187839672,0.0,0.05518481972592503,0.024829090733521395
customer_language,0.0,0.0,0.0679815194991979,0.0,0.0,0.08029173942430781,0.024087521827292343
who_said_hello_first_lgs,0.0017988694824803502,0.0,0.0589581645754365,0.008749506360045404,0.0,0.06963441861699277,0.02395265281111372
customer_knows_marketing,0.0,0.0,0.0595975458729803,0.0,0.0,0.0703895802684732,0.02111687408054196
Connection Made Calls,0.0,0.0,0.0580922988150007,0.0,0.0,0.06861176027505675,0.020583528082517025
lgs_agent_gender,0.004246231492481132,0.0,0.034944640726433,0.020653210147554207,0.0,0.041272481229489406,0.01961036792049079
customer_availability,0.0020370887837714595,0.0,0.0359081804259742,0.009908179244338388,0.0,0.042410500488994925,0.016191012882216912
Calls Count,0.0006362192482132438,0.0,0.0403964580138009,0.0030945015260082326,0.0,0.04771152372590558,0.015396532651874554
