,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag,TO_OMC_Duration
lgs_sentiment_style,0.07095425844409277,0.12656662809460842,0.09393743609024227,0.03321637011445218,0.0033091353319080266,0.12421445092187595,0.08008945914330216,0.10096940619796015,0.077318662588762,-0.08835277393843181,1.0,-0.22376236960275417,-0.2530822038623577,0.21074953210921912,-0.0592336885239135,0.0,0.09626021374409255,0.1787979379218949,0.12123565110299402,0.4579338189270858,0.15135740567038894,0.2044452411041502,0.1862194751445525,0.017918601957718244,0.1463011542067129,-0.003435260291887778,-0.040084719974435704,0.30739145458213313,0.296425245889427,-0.18947410840033355,-0.14928541393693218,-0.24899492982891233,-0.33986263993779386,0.24217377106379756,0.2277012349444471,0.24217377106379756,0.4020526798281116,-0.053529331831462294,-0.23626339550313355,-0.31443482206419693,-0.2663227803334082,0.0,-0.0840795352120967,-0.12365439346002441,-0.15167051411099253,0.003756961986811885,0.07955839641979998
lgs_agent_gender,0.14329922703631112,0.1456565996362571,0.18382503935695413,0.14315710200748796,-0.2365602932828925,-0.05444669836246992,0.1425533282825311,0.1105981129803547,-0.11166851486746181,0.17008225221089698,-0.22376236960275417,1.0,0.12027435372950318,-0.06949176591661266,0.015443865813351247,0.1839129056767224,0.08776119377995335,0.09230513729568898,0.022047546024897353,-0.32022917415915847,-0.10530245520175076,-0.37029989401475644,-0.0828360887232813,0.07643196125685739,0.22707580811745057,-0.08128389698895822,0.22806092526565191,-0.03643360228604201,-0.12202445620953914,0.17541270980330761,0.07704084262959786,0.23188993790596202,0.23905533551515876,-0.058785147024205356,-0.058785147024205356,-0.12299661531218352,-0.08972935373677848,0.07206058102881391,0.225995071661567,0.06646922023238531,0.059451609164073174,0.0060025725664935225,-0.006515053378591333,0.09079958697337186,0.2072850795417621,0.14753500702299913,0.14347462522713644
TO_length_in_sec,-0.09367119886599001,-0.10567301438926385,-0.061673508804431475,-0.020988163538192557,-0.1289837906236355,-0.0826283844876021,0.03852938954672231,0.08130740732152968,0.053182584367014646,-0.08509689413839672,-0.2530822038623577,0.12027435372950318,1.0,0.08259223677851747,-0.040386397922010084,0.05547988118097655,0.16913005265219744,-0.07604781064814942,0.16185041164758293,-0.13565327692030094,-0.02796164239275328,0.054679025009088,0.24349729676152188,0.010551945240520383,-0.17915770406077502,0.11071426974422739,0.03903931399204022,-0.059274313050572944,-0.11708586495907401,0.14649512310268623,-0.06248908572343101,0.05324820080631285,0.12464053405298971,0.012276938553721027,0.06956931847108581,0.05156314192562831,-0.08752020690593285,0.04035249635060256,0.0574458114069819,-0.017389863143912013,-0.07810546677582769,-0.11046149369255813,0.015311353903884935,-0.039105557036972625,0.11697523375973565,0.01493869348693511,0.03881116641908312
is_decision_maker,0.1124017227677013,0.09440919849486759,-0.019493679223389956,0.13313167211108085,-0.07283713932738128,-0.2714205096437672,0.1319112847646024,0.047488972387877235,0.1243653918203521,0.008486617147297983,0.21074953210921912,-0.06949176591661266,0.08259223677851747,1.0,-0.10022860750073155,0.3562181174867379,0.42724899271096184,0.03015193919577091,0.10428922922294437,0.35553584466340304,0.14741927103188343,0.2754566110515352,0.2339274423725324,-0.10688168710411133,-0.3315693632321452,0.14940003090877457,0.09037428487349645,0.06754865908095224,0.14502912133851573,0.15984298853615103,0.10036159960118146,-0.033748423398745106,-0.05857933691160428,0.07171638145728161,0.07171638145728161,0.07171638145728161,0.0845122847446515,-0.03340652094037978,-0.1456291901711964,-0.031818547268248135,-0.06689742209841407,-0.016859100050416007,0.029348239874486443,-0.1719135034952738,0.11717424105725673,-0.03292346384432162,0.13191283086872718
ready_for_customers,-0.029299271902043397,0.04872433289425,-0.05847992986944799,0.07806086275312892,0.13139979336759083,0.17634932011654822,0.1039802754473445,0.25709593003524706,0.00783741055906862,0.07387182672087146,-0.0592336885239135,0.015443865813351247,-0.040386397922010084,-0.10022860750073155,1.0,-0.22732938351960838,-0.07006498891375644,-0.01844260370401293,-0.150539737579966,-0.08476163118547844,-0.014481921328099296,-0.033184280205856224,0.04040332960377474,-0.0376535197166659,0.027251433250565737,-0.15067696604180525,0.01620629304769512,0.03853501899072922,0.12514667678484045,-0.14330370378476098,0.1589925580417426,-0.11769318715174662,-0.04322465952578442,0.071833207761318,0.071833207761318,0.16357200321553134,0.041979534934484024,0.14042677359258737,0.23374942595537207,0.0374482980526204,0.058882829146641426,-0.026932140527416246,0.15657371579394205,0.035105878192441244,0.06015405317853827,-0.025919212264873533,0.10398149417804711
forbidden_industry,0.0,0.09386414040230315,0.14277606576481297,0.0943523750010419,-0.11717257794680137,-0.06726727939963124,0.11441585455928771,0.003697680856379617,-0.15964592233400896,0.12166426899378041,0.0,0.1839129056767224,0.05547988118097655,0.3562181174867379,-0.22732938351960838,1.0,0.2673276924039163,-0.11177845541056804,0.03408163150039373,-0.045596075258755316,-0.16878989451394444,0.16306238799556463,-0.08873335265619053,-0.13901327660799506,-0.007282456151185254,0.13474741346712532,0.1493113213737396,0.014559946296804854,-0.06700910192002675,0.10235224244079497,0.19146662393275565,0.21814129318815872,0.05905686160044339,-0.06052275326688024,-0.06052275326688024,-0.06052275326688024,-0.05337605126836238,-0.06540629397698251,0.05938577207297662,0.037192367863349236,0.03892934912767398,-0.036726858133466565,0.07811593161548264,-0.03064805281050015,0.2124206270873947,0.10296640693834447,0.11441719560319452
ready_to_transfer,0.03538052881247389,0.11961397958808419,0.0774876817452654,0.03126751511025976,-0.17299700574086133,-0.20371497735601402,0.09935457112472691,0.2107098835567392,0.13801065360235634,-0.013396331371899784,0.09626021374409255,0.08776119377995335,0.16913005265219744,0.42724899271096184,-0.07006498891375644,0.2673276924039163,1.0,0.013868839785959796,0.20194451489582885,0.3271030327576074,0.33058467054037216,0.2717835387800922,0.24281644956655296,-0.06899169030571706,-0.24734017631713812,0.013052970809972598,0.051483202217049134,0.03574500242628937,0.1937844786715093,-0.015140962471452699,0.008833783992168902,-0.001002208667265616,0.020062440679036054,0.11177659562422237,0.18118625581023143,0.11177659562422237,0.1381280152696844,-0.14958613654207895,-0.07278385230118342,-0.003261333904844025,0.03886918810091309,-0.20165820403962556,-0.028497918841683127,-0.11606452127644201,-0.046688891871484214,0.0950356090910183,0.09935573563853256
customer_sentiment_lgs,0.034163844017272446,0.12785505733420352,0.1530750721211665,0.11380257602750085,0.10286851050689733,0.01159715196233107,0.06044535741646069,0.014391453826317676,-0.08121678627515926,0.06837770841184908,0.1787979379218949,0.09230513729568898,-0.07604781064814942,0.03015193919577091,-0.01844260370401293,-0.11177845541056804,0.013868839785959796,1.0,0.005225275302989083,0.2493043641523624,0.3516950449611869,0.1775780335836807,0.014190898719064808,0.3152948707602187,0.03710748963446699,-0.023167787325257788,-0.01332507699971176,-0.006454784136487016,-0.07595861534476119,-0.06456363903686306,-0.011291863245662353,-0.06558947337318331,-0.04025385133084871,0.05097934219453004,-0.017887488489308784,-0.017887488489308784,0.09859551275466977,-0.13668716944705359,-0.23126097335560725,0.08024991125733713,0.02269472085906018,0.16327717063755964,-0.09956333042168362,-0.1461006362421289,-0.12182842493663625,-0.014632139691117488,0.06029235687949026
customer_sentiment_omc,0.3780002473045717,0.3805775127847376,0.3093496718395401,0.4011430400989159,-0.005609166282711037,0.03808227832950807,0.46229406649347204,0.27982828734825976,0.2425342009059483,0.0024834673730136842,0.12123565110299402,0.022047546024897353,0.16185041164758293,0.10428922922294437,-0.150539737579966,0.03408163150039373,0.20194451489582885,0.005225275302989083,1.0,-0.08529670951195117,-0.023681680691603365,-0.007626031989733598,0.05026368578817009,0.17062080737041116,-0.0962796186967192,0.2982066737813657,0.3740294456806516,0.31066687600403964,0.4234515787584794,-0.146466068730743,-0.17038264982308532,0.10385322404906369,-0.35684898565631096,0.4174245917252261,0.3968662071220565,0.3468110098273827,0.4710064185185597,-0.22421515822345287,-0.12436310047843147,0.025260160378051257,0.05960650538495909,0.028171326209402728,-0.16765795310519357,-0.026818452610713965,0.08638661260999606,0.3674475818147908,0.4619410437848472
customer_language,0.0159314109586095,0.002060661975128269,-0.012384931773204634,-0.11599730880488082,0.0419118518182371,0.013290870380481667,-0.10481254320699081,-0.14137087747077332,0.17859738431971942,0.04017912106897606,0.4579338189270858,-0.32022917415915847,-0.13565327692030094,0.35553584466340304,-0.08476163118547844,-0.045596075258755316,0.3271030327576074,0.2493043641523624,-0.08529670951195117,1.0,0.5002501876563868,0.6443670926262376,0.4927471334635846,0.11513421540022464,-0.1575583981911945,-0.0912815904797779,-0.19087035955706083,0.025891179877389446,0.13736353610193122,-0.017480952226787486,0.03817446265359716,-0.14181622499975086,-0.10192892775072329,0.03587480016670876,0.03587480016670876,0.03587480016670876,0.06327719971683327,-0.0020956494018064867,-0.21340518783647133,-0.08156923079954692,-0.04961196363616394,-0.06530942291137569,0.02692042945291587,-0.010686236466037849,-0.168697778030532,-0.2220346907138423,-0.1048137716925269
customer_knows_marketing,-0.07548891619890959,0.08124101579803619,0.08997508463301121,0.008626435687764911,0.07779736835134712,-0.0738012404616746,-0.02282355638938225,0.07667451321417514,0.1546773848589092,0.07436856756210866,0.15135740567038894,-0.10530245520175076,-0.02796164239275328,0.14741927103188343,-0.014481921328099296,-0.16878989451394444,0.33058467054037216,0.3516950449611869,-0.023681680691603365,0.5002501876563868,1.0,0.5009237554951309,0.303585792474555,0.2544722949933561,-0.13962232356915835,-0.10841307479451466,-0.20072219513259038,0.05590975844013531,0.0753559347168508,-0.27236091379896366,-0.08880003679356825,-0.14823037819749418,-0.05774227275238552,0.07968190728895959,0.07968190728895959,0.07968190728895959,0.08784104611578832,0.10996656903846327,-0.026876094434010803,0.05202640434343711,0.044205600129620055,0.23874370567316955,0.13154516648265496,0.02136178402271393,-0.021042736108518804,0.04499241893422925,-0.022823823899434468
customer_availability,0.013441763349437369,0.0910737037276854,0.03129109328149212,0.0010082768642922315,0.2652519298428268,0.2587815617258288,-0.0013066127520370567,-0.13586533508301318,0.21369662421923522,-0.059932270190618774,0.2044452411041502,-0.37029989401475644,0.054679025009088,0.2754566110515352,-0.033184280205856224,0.16306238799556463,0.2717835387800922,0.1775780335836807,-0.007626031989733598,0.6443670926262376,0.5009237554951309,1.0,0.4864696747064272,0.22365771532337678,-0.23936594363820304,0.017959492624773154,-0.06919193438540762,0.1083109532363617,0.15598824840143563,-0.06159668106433684,-0.011581731370547514,-0.06706308735388342,-0.07171797260928545,0.08268016050584384,0.08268016050584384,0.08268016050584384,0.12257607154076607,0.09328620100883812,-0.0955951486402539,-0.10113521614868878,0.11154340479636993,0.09288414660258017,0.16011410243731833,-0.09925679014629019,-0.0239475463313572,-0.008341902424004077,-0.0013066280665673413
who_said_hello_first_lgs,0.005384854942124603,0.027575411342587588,0.07725324649944637,-0.017256651734133988,-0.014341085083835328,0.01633580335315152,0.01752399631925252,0.08433704153297723,0.2274488288144102,-0.10379375207812648,0.1862194751445525,-0.0828360887232813,0.24349729676152188,0.2339274423725324,0.04040332960377474,-0.08873335265619053,0.24281644956655296,0.014190898719064808,0.05026368578817009,0.4927471334635846,0.303585792474555,0.4864696747064272,1.0,0.18396484222638906,-0.12707777933202594,-0.11774543937174088,0.012278750793076689,-0.08138027997810544,0.10113480592808932,0.17367186970628945,-0.07145029582260468,-0.08727328806857224,-0.06002247584182919,-0.023149193667687754,-0.023149193667687754,-0.023149193667687754,0.020658713520602,0.14470951893775427,-0.011728967979137844,-0.060721355979607025,-0.05286831887143637,-0.12709699293371995,0.08468017951165113,0.060878170527877105,0.047094295549535856,-0.02163982983932473,0.018116235555986737
customer_marketing_experience,0.23753543987147693,0.25275838479121665,0.3239529866364298,0.137103063170979,0.09024676645388169,0.29808056881962774,0.21414645404601937,0.01227538084062487,0.12026814859416644,0.090072870438055,0.017918601957718244,0.07643196125685739,0.010551945240520383,-0.10688168710411133,-0.0376535197166659,-0.13901327660799506,-0.06899169030571706,0.3152948707602187,0.17062080737041116,0.11513421540022464,0.2544722949933561,0.22365771532337678,0.18396484222638906,1.0,-0.05679588915845406,0.19697772243652273,0.179226964931723,-0.0357108860793474,-0.00039398000696132143,-0.06226731978228415,0.2001425874208111,0.1816185769369496,-0.14790486946120884,-0.026070220050774907,0.024272273840376637,-0.07910963325752386,0.06144353118538744,0.029709845872865053,0.017152418190510867,-0.13779131098987046,0.07175909397830738,0.242944550443664,0.02501375649096884,0.07386107348807293,0.18215061791979825,0.22474398413584687,0.21366615356495422
technical_quality_score,-0.06324386815529048,-0.10411780710800596,0.03232307712765775,-0.11932980201808956,0.036656953687874944,0.13532686724106563,-0.08877291588588145,-0.02530981395593223,-0.16970506792112205,-0.0322344806709303,0.1463011542067129,0.22707580811745057,-0.17915770406077502,-0.3315693632321452,0.027251433250565737,-0.007282456151185254,-0.24734017631713812,0.03710748963446699,-0.0962796186967192,-0.1575583981911945,-0.13962232356915835,-0.23936594363820304,-0.12707777933202594,-0.05679588915845406,1.0,-0.3191173689004188,0.017709936927316528,0.0435494005152637,-0.15291726913903242,0.11483744693823526,0.10365482708558067,-0.0281110915518023,0.15992392931740407,-0.08594708787893658,-0.1108717433638282,-0.13149904445477298,-0.03410919306568201,0.03155481115109207,-0.09146780365229457,-0.04439193094398649,-0.043562806380010415,0.005508875900993574,-0.027326381260476627,0.15257250607046588,0.05726301967929237,-0.1691808155981228,-0.08877395637435569
technical_quality_issues,0.32804363379613455,0.3028782535471287,0.22429403547557275,0.23254873962495756,-0.0508161571355411,-0.1412127969799118,0.3553551567323273,-0.001372568193871989,0.030000481220490115,0.13190323244626298,-0.003435260291887778,-0.08128389698895822,0.11071426974422739,0.14940003090877457,-0.15067696604180525,0.13474741346712532,0.013052970809972598,-0.023167787325257788,0.2982066737813657,-0.0912815904797779,-0.10841307479451466,0.017959492624773154,-0.11774543937174088,0.19697772243652273,-0.3191173689004188,1.0,0.3648885254238883,0.12098632180455252,0.15543658749662043,-0.00999202537810541,0.07184862546591458,0.197304799770179,-0.004440853238471528,0.11914482247166476,0.26757099961856917,0.19487246387314658,0.058993860253641034,-0.14653435420346553,-0.00461310338648751,0.11931845017355551,0.10755850235695058,0.12311735103185789,-0.0017957009250210423,-0.108380957387104,0.2636530369074026,0.3026642171186611,0.35487488548908935
TO_OMC_Disposiion,0.6376977439174879,0.6790594954959668,0.5780013262929561,0.6670845872671751,-0.07288015999033404,0.009438720205364905,0.7548997440160369,0.18983935374990377,0.13689840270079348,0.2173448920712776,-0.040084719974435704,0.22806092526565191,0.03903931399204022,0.09037428487349645,0.01620629304769512,0.1493113213737396,0.051483202217049134,-0.01332507699971176,0.3740294456806516,-0.19087035955706083,-0.20072219513259038,-0.06919193438540762,0.012278750793076689,0.179226964931723,0.017709936927316528,0.3648885254238883,1.0,0.3935590066941201,0.25406321256024483,-0.06863809239184228,0.29792515468197345,0.5110691974100816,-0.014239653357531221,0.17239472127655636,0.22759500148826162,0.17239472127655636,0.13762047064079508,0.0419626833957678,0.3759010242274395,0.1094754673080307,0.2749722193363799,-0.07031156744089019,0.13597334329936328,0.13030942927617423,0.5357656117313372,0.6079889180048208,0.755206575867774
omc_agent_sentiment_style,0.29617358365406493,0.3298078300348623,0.1781725552843252,0.3218827997321141,0.07453644233811109,0.18674045401264558,0.3697856437133034,0.08847540728589193,0.05320012099283739,0.05624717938662241,0.30739145458213313,-0.03643360228604201,-0.059274313050572944,0.06754865908095224,0.03853501899072922,0.014559946296804854,0.03574500242628937,-0.006454784136487016,0.31066687600403964,0.025891179877389446,0.05590975844013531,0.1083109532363617,-0.08138027997810544,-0.0357108860793474,0.0435494005152637,0.12098632180455252,0.3935590066941201,1.0,0.5208135919648449,-0.4065408580548724,-0.29004889899242203,-0.045660006002247205,-0.27057919947711084,0.5956966332151696,0.5956966332151696,0.5956966332151696,0.6491165755123879,-0.22144409896124,-0.03872702646820144,-0.08248821700147689,-0.03472415061635398,0.020854902200872105,-0.015301510244395092,-0.11424640439736597,0.010832422105567306,0.5136131483520872,0.369789977892218
omc_who_said_hello_first,0.2652226571136592,0.26000698088407237,0.16491043009309486,0.2101891285815972,0.07906116817183155,0.14161125274184566,0.23380861618070886,0.1527514339988551,0.1913443428238553,0.09608582805024404,0.296425245889427,-0.12202445620953914,-0.11708586495907401,0.14502912133851573,0.12514667678484045,-0.06700910192002675,0.1937844786715093,-0.07595861534476119,0.4234515787584794,0.13736353610193122,0.0753559347168508,0.15598824840143563,0.10113480592808932,-0.00039398000696132143,-0.15291726913903242,0.15543658749662043,0.25406321256024483,0.5208135919648449,1.0,-0.3454324266304456,-0.4123126708104437,-0.2789008396345322,-0.34103458431297007,0.6260794434430185,0.7222979684353139,0.7222979684353139,0.7250603540804014,-0.2273867658240414,-0.12489446795246939,-0.06949575460205204,-0.08662414228357665,-0.09598031741484517,-0.14818291054838895,-0.23887911153161553,-0.0552997112689827,0.4380602009458714,0.2338113566017921
