Feature,Cohens_D,Abs_Cohens_D,High_Mean,High_CI_Lower,High_CI_Upper,Low_Mean,Low_CI_Lower,Low_CI_Upper,P_Value,Significant,Effect_Category
stages_out_of_order,0.1325667982055916,0.1325667982055916,444.74961973933824,426.9179142269346,459.5957857024603,441.9146172838592,427.1463279659078,458.4773786884415,0.8315911518324068,False,Negligible
longest_monologue_length,0.11579245513944464,0.11579245513944464,16.343556911691127,14.946071312501084,17.741042510881172,15.958298276225847,13.680769777787319,19.28244793073524,0.8525937321283851,False,Negligible
call_result_tag,-0.11559052328368348,0.11559052328368348,5.082568520890797,4.264659190680167,5.894537284525627,5.183488209818694,4.698143375784995,5.687899721518644,0.8528473503290753,False,Negligible
primary_disconnect_reason,0.09857165576399225,0.09857165576399225,296.60381256295875,289.5018916743311,305.8173546131156,295.7053008275554,290.9043362472057,301.2420290728286,0.8742835862482778,False,Negligible
Calls Count,-0.09114578955643485,0.09114578955643485,1.6442047461024654,1.5779111952225926,1.7099520145836518,1.6512293996576004,1.603441785433261,1.698158268521728,0.883672089069919,False,Negligible
objections_rebutted,0.08159590326840765,0.08159590326840765,1.1449430440131267,0.8769045097774095,1.3975965887065513,1.1211349873360494,0.9897609813236157,1.332544750817027,0.8957740339634781,False,Negligible
timeline_mentions_final_2min,-0.0775547343706825,0.0775547343706825,0.800211743074821,0.7124409297799151,0.8881071514818907,0.8087857327182614,0.7351831894507163,0.8969392460186666,0.9009039286843905,False,Negligible
tone_assessment,-0.07330143955397014,0.07330143955397014,8.389016278868592,7.739938564369135,9.035502689570787,8.436360695437711,8.14778101588376,8.734074949870806,0.906308348419904,False,Negligible
goal2_questions,0.05680412176969346,0.05680412176969346,1.7986304659382149,1.342175313725039,2.2489201404366184,1.7635524616505311,1.3309872474472344,2.2670223256755753,0.927316162604931,False,Negligible
customer_sentiment_omc,-0.05553238956089749,0.05553238956089749,19.40819750674987,19.05181570378624,19.85418624982139,19.44921914465931,18.886396233233455,20.085144619633216,0.928938292684143,False,Negligible
commitment_type,-0.05447010586131667,0.05447010586131667,42.48653756745669,40.90657218920851,43.97432194709183,42.58835421164899,41.40632550656891,43.80911284729129,0.9302935315243852,False,Negligible
notable_sentiment_shifts,-0.045211473629628754,0.045211473629628754,1497.871945840945,1431.4635061157828,1595.0270575302197,1501.389375690893,1473.7586240681064,1528.593705232752,0.9421150503182203,False,Negligible
goal1_questions,-0.04267439778762578,0.04267439778762578,3.7447737442711597,3.1532522420369036,4.250590805793869,3.790115475116725,2.753072801852745,4.67056403864585,0.9453571616294707,False,Negligible
technical_quality_score,0.04180909039487985,0.04180909039487985,4.311426977410136,4.219742319761464,4.389964724482815,4.307801066247439,4.262733450629646,4.352819699331683,0.9464631781593293,False,Negligible
call_structure_clarity,-0.04077883541762895,0.04077883541762895,999.6587811034536,837.1349630564011,1148.1744029825104,1005.4717225741562,957.2686878895292,1058.282714930719,0.9477801848409466,False,Negligible
total_discovery_questions,0.026739397818812027,0.026739397818812027,5.852226691852237,4.925588894348797,6.72436217777391,5.8109809696359305,4.308719496946163,6.989724746026469,0.96574216556117,False,Negligible
customer_frustrations,-0.009120622790654745,0.009120622790654745,21.891090140919015,19.22179629805648,24.590076527612226,21.917644725788715,20.552149176843,23.378095536524523,0.9883111623299052,False,Negligible
