,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
stages_skipped,0.1706378282513681,-0.17502683470995734,-0.03630894000504624,-0.15337163259952796,-0.03464053551322269,-0.03789922099050922,0.08778010197691556,0.004291076902463596,-0.007852494031874373,-0.16713326115722593,0.00893521321343179
stages_out_of_order,-0.07912846890488238,-0.18163598641847956,-0.1486750416089137,0.07097910723729528,-0.05174824369637408,-0.17875857883627486,-0.17064380867342233,-0.16474202799998708,-0.025118412517362083,0.12622945388407125,-0.01085996728573204
name_usage_count,0.00771369078056474,0.13089095959434435,0.211042737087197,-0.22508174270010112,0.06328276911306645,0.021927526246127683,0.10689283056152031,-0.11426546391959873,0.035962110379535527,0.14266269090050077,-0.06054184443351654
tone_assessment,0.09240931569291488,0.01660780686859947,0.10371283914920086,0.15015002317708348,0.2100602077755947,0.021066562379845884,-0.23000848530886922,0.05786093366453332,-0.2655687143993515,-0.19484768882539286,0.1702869729090466
sentiment_progression,-0.1627941617192029,-0.18078881669063304,0.05786438968748244,0.13187800804189106,-0.026317775434072002,-0.012207545219496721,0.0056174461263907086,0.07584828774861455,0.1842393533622731,-0.15288263273617253,-0.01895989383519833
sentiment_opening,-0.1007705935555074,0.11585668103381884,0.015695573572211897,-0.1510301016127912,0.09807193928875615,-0.1849439545153373,0.1692472481238352,-0.28644065039861405,-0.12910949517976994,-0.04647754492166522,0.19635027542628467
sentiment_early_middle,-0.04022765026717195,0.12073738808661186,-0.1801665111936145,0.013955193809249596,-0.16553316982834235,0.1427151443002501,0.10334630898552172,-0.23640156089111555,-0.16817022951879007,-0.2257891244104083,0.022029982257432457
sentiment_late_middle,-0.0635264858764153,0.17781590108841477,-0.1832306952161177,-0.18193865258861497,0.030873492788317507,0.06562680387482323,-0.04717570538287059,-0.16327679615582952,0.10369581152024065,-0.04757257648760983,0.1008698109322352
sentiment_closing,-0.17135304286945152,-0.18457054765418696,-0.0665710475923569,0.01010444987280764,0.07176381791185478,0.13313870671056566,0.059158016937273995,-0.0030205626487074208,-0.0867561794118327,-0.13481681487797045,-0.023636399460254816
notable_sentiment_shifts,-0.140192493653855,-0.10845332334605563,0.10476009271408389,-0.004906458129972921,0.053937066039363823,0.011598122899992614,0.36818682370450023,-0.021737131996728252,0.18296598669965716,-0.009025778816868535,0.05658152111414868
customer_frustrations,0.21722326721914725,0.06773251335922917,0.08444632919186904,-0.07976241362907292,0.1052107181458088,-0.0948097303988872,0.00976844324119013,0.037933626533492984,0.10025024137621688,-0.07000855188315058,-0.013314833697359233
empathy_response_rate,0.08155384864829604,0.022872385755014806,-0.1319853513649694,0.11890621786027497,-0.23458300182241026,0.025903995733804017,-0.24374307166766185,-0.18626013572551284,0.1382159457267981,-0.14600277048664526,0.0713205318360494
total_call_duration,0.20237178480720092,-0.07092932976549225,0.14676765482732976,0.12340255343503247,-0.022720379750249216,0.015939756667116042,0.11690459556830898,-0.03433151645804357,-0.03917220780600605,0.05968287809665287,-0.011955212418416714
disconnect_stage,-0.00685566803494434,0.08541000250179928,-0.14658744280085279,-0.15230276637839552,0.17358601150956587,0.24817928189182348,-0.15136833439636355,0.04106171034862255,0.07473259334336949,0.10667476024005636,-0.04582561462654764
hang_up_initiated_by,-0.13816737801946877,-0.13426317035789412,-0.05423758125531847,0.13340415030205416,0.20709322772892635,0.10837367516107257,0.004439338255020351,-0.11689553474826445,0.13315019163629835,-0.04873014708662948,0.12745896081316618
time_in_final_stage,0.15333995055702385,-0.1587063201283934,0.1405401708682801,0.12888038479207428,0.07477136929399932,0.10099556162033711,-0.04794212267049407,-0.07952013405293522,-0.03414855666117453,0.07728096739062053,0.11967208678791659
commitment_type,-0.004922413331160234,-0.23949710927808832,0.10856095941154872,-0.0083050447457297,0.15585899179447987,-0.011324794399020779,-0.17885413242147455,-0.022166259460243923,-0.06521021501615336,0.21807711870149707,0.06857658575026886
call_result_tag,0.02994063894607527,0.28171197799464587,-0.07459000865145843,-0.030574230741870694,-0.043637491159824016,-0.10104629297599207,0.07221498431392705,-0.01702540055038699,0.12988974552500718,-0.08910757275544337,-0.025240653943503912
