Value_Feature,RF_Importance,GB_Importance,RF_Norm,GB_Norm,Combined_Score
customer_sentiment_omc_Fluctuated,0.005846219720966357,0.00030498155498168085,0.0195659274763226,0.000554867979885662,0.010060397728104131
total_buying_signals_5.0,0.00371799897114633,0.0032728034236625438,0.012443271327213562,0.005954372632009149,0.009198821979611357
total_discovery_questions_15.0,0.00028994056003739827,0.009106042440953237,0.0009703631134134618,0.016567071980036038,0.00876871754672475
total_buying_signals_6.0,0.0046098768601350116,0.0003051441294861199,0.015428177630188394,0.0005551637596972129,0.007991670694942804
total_discovery_questions_8.0,0.0029597771281497463,0.003187535438777557,0.00990568049089402,0.005799240383028073,0.007852460436961046
commitment_type_Customer to Discuss with Partner,0.0035225387107764594,0.0014401539124533744,0.011789111637459741,0.0026201430187325105,0.007204627328096126
ready_to_transfer_YES,0.0015557986547890623,0.004518870277029635,0.005206893531249513,0.008221403494815954,0.006714148513032734
total_buying_signals_7.0,0.002205395997519333,0.003314335016709269,0.00738094361887972,0.0060299331069259155,0.006705438362902818
total_objections_8.0,0.0,0.006927944375148845,0.0,0.012604350779279015,0.006302175389639507
total_discovery_questions_14.0,0.0006907223444517618,0.0053425570430668,0.0023116858316753063,0.009719977439581395,0.00601583163562835
price_mentions_final_2min_4.0,0.0023140044548999547,0.0018728631927117454,0.0077444306757899345,0.003407392346742405,0.005575911511266169
timeline_mentions_final_2min_5.0,0.0011358850437283967,0.0039199124576679845,0.0038015410723146225,0.0071316900028446685,0.005466615537579645
total_objections_7.0,0.0,0.005879738762504643,0.0,0.010697298627132841,0.005348649313566421
total_objections_6.0,0.0017401756308414711,0.002521808762450108,0.005823960065510526,0.004588051017585972,0.005206005541548249
customer_sentiment_lgs_Overwhelmed/Stressed,0.0008240382783673653,0.003380889352990806,0.002757863022908165,0.006151018692339059,0.0044544408576236115
contract_mentions_final_2min_1.0,0.0017959780875672186,0.0004305347902740677,0.006010717812124288,0.0007832931711697068,0.0033970054916469972
total_interruptions_7.0,0.0,0.0036913753297081876,0.0,0.006715901138080239,0.0033579505690401194
objections_rebutted_5.0,0.0008281026692809073,0.002164406354913299,0.0027714655868974368,0.003937811196072395,0.0033546383914849157
LQ_Service_remodeler,0.0,0.0034726948540090763,0.0,0.0063180449667491895,0.0031590224833745947
omc_agent_sentiment_style_Professional,0.00021838191837454123,0.0026061009916602752,0.000730873107921813,0.00474140802615888,0.0027361405670403463
omc_agent_sentiment_style_Hesitant & Apologetic,0.0005650586699154076,0.0016369802080705698,0.001891118959450378,0.0029782388027350917,0.002434678881092735
price_mentions_final_2min_6.0,0.0007283446013867707,0.0010508359052408191,0.002437598709709299,0.0019118375731519812,0.00217471814143064
total_discovery_questions_12.0,0.0003295441703458331,0.0016274302460019328,0.00110290711690283,0.0029608640858892563,0.002031885601396043
total_buying_signals_9.0,0.0,0.0013950986064283626,0.0,0.0025381716790600826,0.0012690858395300413
objections_acknowledged_4.0,0.0005147546007094299,0.00011964367232209727,0.0017227630274421672,0.00021767363200522665,0.0009702183297236969
total_interruptions_5.0,0.00021950981955087145,0.0003102907544728019,0.0007346479288607852,0.0005645272682863171,0.0006495875985735512
TO_OMC_Disposiion_LB,6.34273945502156e-05,0.0005382191492508045,0.00021227662678002855,0.0009792086347599341,0.0005957426307699814
objections_acknowledged_5.0,0.0,0.0005174559244526223,0.0,0.0009414330761679686,0.0004707165380839843
