Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
objections_acknowledged,2,5,11,16,31.25,68.75,37.5,5.4478,0.0196,Yes,Favors Long Calls,18.75
customer_sentiment_lgs,Skeptical/Cautious,17,8,25,68.0,32.0,-36.0,0.2787,0.5976,No,Favors Short Calls,18.0
customer_sentiment_lgs,Not Angry/Frustrated,27,13,40,67.5,32.5,-35.0,0.559,0.4547,No,Favors Short Calls,17.5
total_objections,4,4,8,12,33.33,66.67,33.33,3.1029,0.0782,No,Favors Long Calls,16.67
time_to_reason_seconds,12.0,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
objections_acknowledged,1,7,14,21,33.33,66.67,33.33,6.6973,0.0097,Yes,Favors Long Calls,16.67
objections_rebutted,3,2,4,6,33.33,66.67,33.33,1.0131,0.3142,No,Favors Long Calls,16.67
LQ_Service,Junk Removal,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
ready_for_customers,No,2,4,6,33.33,66.67,33.33,1.0131,0.3142,No,Favors Long Calls,16.67
TO_User_M,ELIASPAULOJR,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
Calls Count,4,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
objections_rebutted,2,9,18,27,33.33,66.67,33.33,9.3913,0.0022,Yes,Favors Long Calls,16.67
TO_OMC_User,MARYANNPERALTA,6,3,9,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
omc_agent_sentiment_style,Professional,4,2,6,66.67,33.33,-33.33,0.0,1.0,No,Favors Short Calls,16.67
ready_for_customers,unknown,28,14,42,66.67,33.33,-33.33,0.4255,0.5142,No,Favors Short Calls,16.67
TO_User_M,ADELALUCAS,2,4,6,33.33,66.67,33.33,1.0131,0.3142,No,Favors Long Calls,16.67
business_type_mentioned,No,28,15,43,65.12,34.88,-30.23,0.1779,0.6732,No,Favors Short Calls,15.12
customer_availability,unknown,9,5,14,64.29,35.71,-28.57,0.0,1.0,No,Favors Short Calls,14.29
customer_knows_marketing,unknown,9,5,14,64.29,35.71,-28.57,0.0,1.0,No,Favors Short Calls,14.29
customer_language,Unknown,9,5,14,64.29,35.71,-28.57,0.0,1.0,No,Favors Short Calls,14.29
Calls Count,2,16,9,25,64.0,36.0,-28.0,0.0063,0.9366,No,Favors Short Calls,14.0
customer_marketing_experience,NOVICE,16,9,25,64.0,36.0,-28.0,0.0063,0.9366,No,Favors Short Calls,14.0
season_status,Low season,64,36,100,64.0,36.0,-28.0,0.58,0.4463,No,Favors Short Calls,14.0
