feature,rf_gini,xgb_gain,rf_permutation,xgb_permutation,avg_importance
time_in_final_stage,0.01637103460562637,0.0048596873,0.0,0.0,0.0053076804751093455
rapport_elements_count,0.010174694239837741,0.010440966,0.0,0.0,0.00515391508855989
roi_calculation_presented,0.0006836440783824322,0.019788062,0.0,0.0,0.005117926569583163
location_mentioned,0.009255123913964767,0.0107091945,0.0,0.0,0.00499107959510911
short_monologues,0.01213944774946519,0.006706362,0.0,0.0,0.0047114524684994125
sentiment_opening,0.007748532738541209,0.010886495,0.0,0.0,0.004658756935038826
ready_to_transfer,0.0033535084631310945,0.013513048,0.0,0.0,0.004216639160644686
ready_for_customers,0.012186496449143448,0.0046587433,0.0,0.0,0.004211309930652569
customer_frustrations,0.007807723980666388,0.008064258,0.0,0.0,0.003967995473251042
long_monologues,0.007303873452804398,0.0068714335,0.0,0.0,0.003543826728938001
customer_sentiment_omc,0.012299739157746634,0.0,0.0,0.0,0.0030749347894366585
total_objections,0.011869446454598422,0.0,0.0,0.0,0.0029673616136496055
stages_out_of_order,0.010442368006990912,0.0,0.0,0.0,0.002610592001747728
customer_sentiment_lgs,0.005923999802500058,0.0042377026,0.0,0.0,0.0025404255961328868
Calls Count,0.009371795195460693,0.0,0.0,0.0,0.0023429487988651733
call_structure_framed,0.0018985826184813876,0.0074657993,0.0,0.0,0.0023410954893992517
objections_rebutted,0.009020232691448108,0.0,0.0,0.0,0.002255058172862027
customer_availability,0.008269227449625747,0.0,0.0,0.0,0.0020673068624064367
total_buying_signals,0.0025501351548060875,0.0055658277,0.0,0.0,0.002028990716805684
goal2_questions,0.008067666959931342,0.0,0.0,0.0,0.0020169167399828355
price_timeline_contract_before_dropoff,0.006572643787657063,0.0,0.0,0.0,0.0016431609469142658
talk_ratio_classification,0.005951072795422476,0.0,0.0,0.0,0.001487768198855619
business_type_mentioned,0.004610595152427667,0.0,0.0,0.0,0.0011526487881069168
objections_acknowledged,0.004549261280091073,0.0,0.0,0.0,0.0011373153200227683
very_long_monologues,0.004548838002254997,0.0,0.0,0.0,0.0011372095005637492
Connection Made Calls,0.004546245613957209,0.0,0.0,0.0,0.0011365614034893022
acknowledgement_rate,0.0037244731361168702,0.0,0.0,0.0,0.0009311182840292176
lgs_agent_gender,0.003636694093079832,0.0,0.0,0.0,0.000909173523269958
empathy_responses,0.0035672069673165175,0.0,0.0,0.0,0.0008918017418291294
omc_agent_sentiment_style,0.0035206675417348695,0.0,0.0,0.0,0.0008801668854337174
season_status,0.0034976483336830143,0.0,0.0,0.0,0.0008744120834207536
lgs_sentiment_style,0.0033376899867867977,0.0,0.0,0.0,0.0008344224966966994
commitment_type,0.003210143696977738,0.0,0.0,0.0,0.0008025359242444345
empathy_response_rate,0.002970970719645599,0.0,0.0,0.0,0.0007427426799113998
name_used_first_minute,0.00290137072922108,0.0,0.0,0.0,0.00072534268230527
who_said_hello_first_lgs,0.0027293812102243825,0.0,0.0,0.0,0.0006823453025560956
lgs_call_not_transferred,0.0018453467236678532,0.0,0.0,0.0,0.0004613366809169633
price_mentions_final_2min,0.001679526311623528,0.0,0.0,0.0,0.000419881577905882
discovery_quality,0.0015667802837358363,0.0,0.0,0.0,0.0003916950709339591
customer_knows_marketing,0.001380978031152909,0.0,0.0,0.0,0.00034524450778822724
goal3_questions,0.0012780454858491953,0.0,0.0,0.0,0.0003195113714622988
commitment_clarity,0.0011865711172378375,0.0,0.0,0.0,0.00029664277930945937
assumptive_language_used,0.0011315982863651026,0.0,0.0,0.0,0.00028289957159127564
tone_assessment,0.0008861375806836152,0.0,0.0,0.0,0.0002215343951709038
followup_scheduled,0.000880787754946988,0.0,0.0,0.0,0.000220196938736747
timeline_mentions_final_2min,0.0007767803968309997,0.0,0.0,0.0,0.00019419509920774993
premature_closing_attempt,0.0005584747478336375,0.0,0.0,0.0,0.00013961868695840936
advanced_discovery_used,0.0004032010944557607,0.0,0.0,0.0,0.00010080027361394018
personal_greeting,0.0003859916254282453,0.0,0.0,0.0,9.649790635706132e-05
is_decision_maker,0.00033582082393992455,0.0,0.0,0.0,8.395520598498114e-05
common_ground_established,9.169054441260748e-05,0.0,0.0,0.0,2.292263610315187e-05
customer_language,8.460661059650784e-05,0.0,0.0,0.0,2.115165264912696e-05
season_month,0.0,0.0,0.0,0.0,0.0
forbidden_industry,0.0,0.0,0.0,0.0,0.0
contract_mentions_final_2min,0.0,0.0,0.0,0.0,0.0
omc_who_said_hello_first,0.0,0.0,0.0,0.0,0.0
full_sale_closed,0.0,0.0,0.0,0.0,0.0
payment_info_collected,0.0,0.0,0.0,0.0,0.0
